White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
3330478,9667444,22459,1284102,2341869,292354,302298,328072,187167,143127,75071,72170,208016,304933,307840,330028,117735,174198,83019,2491853,509611,283581,Alabama,608333,660842,419711,218808,2930639,60145,2013
487762,1470264,105310,25077,386404,54705,50862,53186,29613,23359,12490,11358,36900,60708,53300,52598,17414,21956,5572,348728,87995,45503,Alaska,89946,101153,43156,16856,413268,50569,2013
5233466,13253248,288294,277973,3298086,430081,461694,453760,270427,183576,98786,100258,283305,440289,440651,400718,152117,224605,118012,3328538,789099,450165,Arizona,832886,834747,589406,311306,3771398,204327,2013
2305726,5918746,17704,463928,1461544,190202,210050,195242,116128,81004,41393,45072,119779,191629,192224,191520,74308,100928,52677,1497829,280896,142224,Arkansas,367589,388763,260847,140018,1824631,39838,2013
23741019,76665042,278377,2269021,19072246,2500565,2559235,2539869,1574515,1089266,606864,589309,1725666,2837147,2745425,2386587,865413,1151236,673605,19260275,5247842,2925372,California,5159912,5207404,2692906,1427597,20985123,5353018,2013
4415852,10536734,43613,209555,2645976,333573,349279,360838,197635,144333,77208,76584,214682,389507,387153,348854,131255,177076,74733,2622391,888937,495220,Colorado,720347,715100,382712,187498,2642885,159167,2013
2778681,7192160,8018,370998,1751883,190746,219926,230077,144593,108001,53506,51708,132208,222554,216595,260273,92342,124823,91934,1844197,549680,412545,Connecticut,448157,556065,293384,159188,1848513,148115,2013
637606,1851498,3955,200249,447789,56235,57145,57557,32751,25182,13951,12413,40785,61081,57958,61435,23957,35768,17715,477960,119058,80294,Delaware,111785,130801,86005,43225,522709,34480,2013
264080,1292898,1272,315504,306147,41061,32187,23091,15193,21525,10779,13469,36130,76164,68582,36080,13713,18357,10449,340302,120727,148039,District of Columbia,89855,76302,41083,22429,266151,23067,2013
14897782,39105720,50379,3141552,9565609,1074049,1101641,1150674,702366,493791,278855,260065,764423,1239584,1195802,1326202,484489,700370,496095,9987251,2539488,1334629,Florida,2409505,2726761,1984921,1163267,11650013,517829,2013
6035159,19984334,21692,3095976,4879034,657016,706117,712651,414597,303962,147769,144857,433026,670162,676998,626711,220340,311316,122088,5113133,1228548,688303,Georgia,1391341,1384531,726904,341781,5584935,359539,2013
358977,2808108,2272,30306,710917,90706,81291,86759,48470,31799,17831,21510,65785,106886,97281,93804,38001,46599,35362,693137,211105,100854,Hawaii,177174,180050,120992,63754,784869,668474,2013
1475631,3224272,19800,9097,810879,111239,121323,124215,70077,43961,26426,21296,66710,102508,105135,102322,41273,53371,24995,801257,195876,85296,Idaho,195107,204069,131115,66994,904110,26663,2013
9362416,25764270,25575,1833560,6326778,797089,838981,861781,524304,356979,191454,182891,534991,882488,897222,860282,313884,416413,251571,6555357,1841758,1074028,Illinois,1689992,1793296,962413,526104,6944194,639045,2013
5529595,13141804,14146,603521,3228884,424064,446461,448783,268234,187013,104661,98244,280550,416457,424025,448355,159178,220243,130021,3342018,711473,374976,Indiana,826166,902635,516472,269340,3896911,119559,2013
2823908,6180832,7630,102430,1528770,193077,208901,196946,124542,92084,51425,46430,128741,189663,200087,211617,83217,107024,80950,1561646,403010,172580,Iowa,363546,413491,248503,150172,1791360,65071,2013
2476030,5787914,24238,168246,1440481,199304,204847,198878,117513,88449,42996,41082,128443,192155,195403,192109,72705,93237,63708,1453476,400665,209288,Kansas,347137,373474,216907,125610,1563462,74635,2013
3854574,8790590,7434,350164,2163067,271837,280987,294006,167755,121823,68978,66744,169512,280126,284508,301860,112383,157063,76459,2232228,423104,277205,Kentucky,565930,615725,370654,188945,2680401,55317,2013
2907296,9250940,27412,1492915,2256464,304998,323009,306063,178604,126624,74941,73561,202697,332889,326203,315267,115967,150877,69542,2369006,484290,233064,Louisiana,565847,620965,351389,186027,2795442,74900,2013
1260470,2656604,8242,13617,649994,64177,70496,76511,49151,33821,19196,16588,44400,76932,73245,107438,40822,56650,29253,678308,180983,96942,Maine,157792,205099,133206,73525,790042,14328,2013
3416335,11857628,17230,1754964,2875157,366712,368111,379785,229849,161106,78451,82120,243979,412668,402909,404871,148227,197993,108921,3053657,880713,693939,Maryland,768746,889419,455135,229812,3009705,357483,2013
5330381,13385648,13958,474427,3245774,363925,379569,399540,249921,207950,101966,100293,284865,471824,437528,473361,163689,228368,154895,3447050,1138748,827556,Massachusetts,844416,995512,538523,296679,3333565,389874,2013
7829056,19791244,53720,1378237,4858138,570303,621207,644396,407833,283447,154554,152181,416406,592095,588428,730583,259974,358446,204887,5037484,1174164,705554,Michigan,1209103,1419883,835625,446271,5772165,268673,2013
4596087,10840760,59184,294527,2690694,346348,360418,362916,212912,146672,73747,73592,214442,363309,375763,377879,135626,182164,108408,2729686,868278,406574,Minnesota,669262,770612,412205,234105,2862934,235766,2013
1764640,5982414,13314,1128280,1451232,197882,212488,205283,121487,100339,50893,46350,125431,182607,192971,197676,69778,103255,46886,1539975,264735,146640,Mississippi,381092,389310,240503,126976,1842692,28427,2013
5003971,12088342,22797,692288,2960402,374233,391183,398270,235389,163777,90741,91456,251839,399453,397081,413029,157656,208618,120770,3083769,745553,409186,Missouri,723852,839236,507803,279785,3490357,108117,2013
904740,2030330,69216,3221,507018,61143,64529,60304,38120,29442,16015,17437,39006,63231,63286,79636,30051,38942,21191,508147,140726,64814,Montana,114827,134116,94636,49253,585529,7039,2013
1650358,3737032,14405,86010,925274,128830,134551,126216,74155,56099,28366,28763,76328,124097,126652,121186,47828,60896,40241,943242,254780,119106,Nebraska,224561,245360,138757,85630,1030878,39010,2013
1906864,5580272,30016,234179,1403068,177287,193023,180243,111094,67534,36769,39742,111560,197190,200677,177429,64569,94727,40379,1387068,293196,141320,Nevada,379270,378190,236888,103565,1693973,233423,2013
1236757,2646918,3082,16100,652662,65807,76311,77620,51437,39492,16589,20238,51397,76037,74045,103945,38450,50854,25944,670797,217854,118607,New Hampshire,162369,215908,116885,60131,715823,31262,2013
6068475,17798678,16422,1215836,4343749,531181,550888,584367,355461,224351,114991,110977,340418,566477,573227,620589,211589,293924,195247,4555590,1471524,859881,New Jersey,1183903,1352589,703060,386100,4546037,803512,2013
1569585,4170574,189392,41733,1034144,138396,142464,143896,83328,63387,31940,33970,86060,135460,134741,139487,54495,73490,34802,1051143,213327,156133,New Mexico,249017,267999,179869,92486,1207743,29896,2013
12695280,39302254,73231,3079582,9536179,1170425,1152215,1180714,735908,551429,299275,290691,851160,1440831,1355164,1322977,481558,654156,425104,10114948,2850904,2009272,New York,2517362,2817419,1541599,863140,10551689,1564942,2013
6811501,19696120,112630,2121712,4795976,607482,657564,644390,374732,277797,155883,155219,406883,629332,640181,649713,236698,333637,164028,5052084,1298601,660009,North Carolina,1320217,1353614,826057,414633,5605282,245163,2013
643478,1446786,40214,10827,369155,47475,43950,44489,24779,23589,15159,13705,42432,52954,48708,51194,18457,21653,17406,354238,103010,33938,North Dakota,81307,90992,51315,33829,425752,9467,2013
9541274,23141616,18273,1405148,5658223,691663,734250,758542,464331,322153,175567,156210,462838,730326,715904,840943,307954,407556,252404,5912585,1377985,768728,Ohio,1416469,1634139,968036,531523,6775309,215665,2013
2815708,7701136,289909,277016,1906922,262687,272004,262377,150764,112844,60503,58680,164272,261010,261602,256019,89296,124005,65480,1943646,429453,195649,Oklahoma,472596,493982,313654,168793,2277634,76919,2013
3370391,7860130,43202,72655,1946196,228403,242753,239750,148622,102358,54244,55387,154505,261364,273486,274340,111468,151090,81577,1983869,547395,311364,Oregon,514966,512733,351758,171261,2211778,166309,2013
10427694,25547602,22855,1409021,6243308,714568,756289,763239,482157,371527,193556,186362,496593,824978,775351,932831,346337,462901,319556,6530493,1669934,996827,Pennsylvania,1536491,1840649,1109434,660982,7390787,387024,2013
846102,2103022,4136,67541,512999,54201,57148,62970,38528,35343,18079,16208,49078,69962,64914,75212,27165,37782,31219,538512,157040,91442,Rhode Island,126983,155074,86172,45473,590182,33771,2013
3209900,9549678,14297,1320131,2321179,293643,314315,294133,177229,146011,73425,72046,205221,306870,300974,322072,123655,174140,76794,2453660,566815,306151,South Carolina,594855,651143,439093,209220,2822553,68185,2013
719112,1689754,71981,13001,424160,58617,61782,55667,32415,24167,12179,14036,35055,55771,54946,56513,23715,29474,19091,420717,110410,42351,South Dakota,96760,109277,64666,40746,483635,9525,2013
5060129,12991956,16101,1102455,3174148,397208,420886,422756,251231,174661,93488,96147,269566,419890,423044,438358,161100,234945,104418,3321830,730831,404504,Tennessee,846939,895569,561481,284291,3868562,101736,2013
19840367,52896386,118862,3142866,13145494,1926498,2005798,1968632,1139990,776536,414131,391801,1151151,1892173,1912686,1572076,563243,736056,336794,13302699,3244705,1562406,Texas,3590709,3440186,1744740,884993,14600164,1109799,2013
2534534,5801744,33325,32754,1458758,253409,255877,250050,137495,88682,42940,50315,151655,211134,228573,145806,53556,70532,34130,1442114,367242,176492,Utah,373367,304801,163236,85314,1460307,90184,2013
595148,1253260,1579,7184,308672,30306,35599,34774,23451,20330,9893,9488,26615,35110,35318,49186,19652,26500,12926,317958,101491,62745,Vermont,72690,95060,59880,29852,338264,7862,2013
5726886,16520810,19615,1592426,4060533,509604,523654,519180,311893,239781,118560,127140,349369,579410,572937,553266,191350,278144,134392,4199872,1269712,844141,Virginia,1098291,1183017,651180,319237,4282221,490305,2013
5439705,13942812,95193,259337,3475830,442110,442841,446472,264761,175268,107691,98732,287427,494871,497478,473942,182588,240557,123583,3495576,1046053,559630,Washington,919683,946219,556824,270359,3769539,578428,2013
1737683,3708608,1842,62788,916834,102836,102684,111155,65582,51375,27006,25810,73831,101760,111518,143200,54024,75609,38844,937470,158535,99403,West Virginia,233256,254645,183271,97898,1214109,12002,2013
4972949,11485426,49653,357899,2855502,341440,363350,376100,225032,160563,82854,81084,232999,360945,372227,415084,153244,200351,126435,2887211,764571,366183,Wisconsin,696351,832482,462197,259975,3306037,144102,2013
528303,1165316,13675,7435,297497,38379,41581,38397,21418,14015,9489,9131,26334,40255,41343,41789,15777,22443,10242,285161,72258,33803,Wyoming,70178,74575,46578,20734,336822,5914,2013
2596735,7230172,15942,280579,1729120,199347,211587,248980,154160,114459,55479,60222,153434,214687,225021,221081,85454,128394,71809,1885966,439872,169612,Puerto Rico,473876,469242,345893,181961,2191528,11084,2013
