YEAR,STATE,Population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian and Pacific Islander and Other,Less than Bachelor's degree,Bachelor's degree,Graduate or professional degree
1980,Alabama,3893888,1871534,2022354,296412,314150,328096,223590,153816,76093,73269,211825,315460,283292,429714,388995,190062,72355,96744,278382,127614,34019,2873289,996283,9304,10660,2433741,173543,123469
1980,Alaska,401851,213041,188810,38949,35043,34282,22471,14683,8404,8728,27958,48645,42163,54022,34243,12617,3672,4424,8312,2616,619,311968,13748,64357,8314,224403,24408,22240
1980,Arizona,2718215,1337942,1380273,213883,211067,219573,146964,105053,54602,53076,156105,236051,207764,297988,251820,132507,50179,74221,202120,85364,19878,2260288,74159,154390,24562,1635677,153154,137874
1980,Arkansas,2286435,1104688,1181747,175592,180365,185491,129926,84396,40940,39250,113579,174313,161024,247415,217759,113577,45590,64741,192447,93676,26354,1889935,373025,12757,7232,1457488,93919,63825
1980,California,23667902,11666485,12001417,1708400,1650348,1796019,1234191,896274,468066,464384,1423515,2232964,2010051,2814938,2359934,1202140,422068,570360,1470978,725255,218017,18221353,1818660,231702,1312973,14343071,1459655,1481596
1980,Colorado,2889964,1434293,1455671,216495,213135,226147,153036,115552,60376,59490,182740,302601,266944,346953,270860,125711,43690,58909,148666,74296,24363,2591270,101695,21015,34257,1667562,230999,181397
1980,Connecticut,3107576,1498005,1609571,185188,205758,256283,175690,112693,55230,55542,161610,249260,241873,369302,338901,178712,65989,90681,219717,109418,35729,2811092,216641,4882,21116,1858928,230892,194000
1980,Delaware,594338,286599,307739,41151,42076,48870,34498,25250,12452,12274,33397,49622,45414,68268,63210,31847,11556,15274,36630,17280,5269,488002,96157,1391,4627,362426,37364,28059
1980,District Of Columbia,638333,295417,342916,34365,36618,42133,30375,27249,13938,13997,41628,66343,56209,74265,63341,34093,12537,16955,46230,21672,6385,174705,448370,1014,6883,373600,50246,71132
1980,Florida,9746324,4675626,5070698,570224,621534,685016,482862,328478,165674,161056,484697,739848,671563,1038778,989160,555209,223364,341288,1059153,511078,117342,8184855,1343134,25006,62514,6394073,583324,407966
1980,Georgia,5463105,2640445,2822660,414935,446831,469598,314766,216007,106612,102653,306819,481276,448765,647332,528004,246907,93355,122514,330874,146423,39434,3949583,1464435,10079,26009,3321912,294578,197202
1980,Hawaii,964691,494683,470008,77848,73057,74870,49808,36638,21909,21796,61977,95287,84314,111416,94444,47383,16362,21432,49375,21214,5561,331925,17687,2976,590659,569387,66114,54039
1980,Idaho,943935,471155,472780,93531,82734,79218,51182,36800,17685,17202,51347,82461,72941,104326,81449,41182,15820,22377,58292,26912,8476,904045,2711,10523,6721,550552,49876,36430
1980,Illinois,11426518,5537537,5888981,842241,849613,919385,631798,435197,218741,213348,640919,985619,869244,1293695,1161441,593160,214369,295863,761483,385720,114682,9267607,1674467,19612,172213,6988919,677837,512345
1980,Indiana,5490224,2665825,2824399,418764,433053,454828,311673,217955,108520,106682,303459,462851,411557,613583,550112,278021,97925,135857,350459,180515,54410,5008817,414489,9691,24355,3439279,227790,204180
1980,Iowa,2913808,1416390,1497418,221628,211041,231700,161504,116129,57650,55065,159309,243200,205954,302697,281422,145854,54915,78156,214854,127790,44940,2841326,42228,6342,13847,1825956,157722,102689
1980,Kansas,2363679,1156941,1206738,180877,169015,175363,123780,93941,49149,46962,136677,202671,171947,249640,231429,119932,44208,61825,173411,99397,33455,2170046,126356,17960,17539,1454977,145816,113489
