STATE,YEAR,Disposable Income Per Capita
Alabama,1980,6491.0
Alabama,1981,7082.0
Alabama,1982,7811.0
Alabama,1983,8315.0
Alabama,1984,8884.0
Alabama,1985,9772.0
Alabama,1986,10388.0
Alabama,1987,10944.0
Alabama,1988,11454.0
Alabama,1989,12391.0
Alabama,1990,13377.0
Alabama,1991,14175.0
Alabama,1992,14867.0
Alabama,1993,15821.0
Alabama,1994,16294.0
Alabama,1995,16995.0
Alabama,1996,17772.0
Alabama,1997,18364.0
Alabama,1998,19087.0
Alabama,1999,20144.0
Alabama,2000,20704.0
Alabama,2001,21606.0
Alabama,2002,22302.0
Alabama,2003,23234.0
Alabama,2004,24323.0
Alabama,2005,25992.0
Alabama,2006,27013.0
Alabama,2007,28184.0
Alabama,2008,29230.0
Alabama,2009,29972.0
Alabama,2010,29994.0
Alabama,2011,30992.0
Alabama,2012,31859.0
Alabama,2013,32805.0
Alabama,2014,32772.0
Alabama,2015,33860.0
Alabama,2016,35190.0
Alabama,2017,35690.0
Alabama,2018,37171.0
Alabama,2019,38790.0
Alabama,2020,39995.0
Alaska,1980,11817.0
Alaska,1981,13586.0
Alaska,1982,14647.0
Alaska,1983,16935.0
Alaska,1984,17172.0
Alaska,1985,17573.0
Alaska,1986,18455.0
Alaska,1987,18461.0
Alaska,1988,17703.0
Alaska,1989,18483.0
Alaska,1990,19732.0
Alaska,1991,20549.0
Alaska,1992,21008.0
Alaska,1993,21767.0
Alaska,1994,22515.0
Alaska,1995,23059.0
Alaska,1996,23705.0
Alaska,1997,24138.0
Alaska,1998,25176.0
Alaska,1999,26045.0
Alaska,2000,26710.0
Alaska,2001,28536.0
Alaska,2002,29859.0
Alaska,2003,31460.0
Alaska,2004,32877.0
Alaska,2005,34056.0
Alaska,2006,35693.0
Alaska,2007,37475.0
Alaska,2008,39761.0
Alaska,2009,43141.0
Alaska,2010,43543.0
Alaska,2011,45697.0
Alaska,2012,48117.0
Alaska,2013,49446.0
Alaska,2014,48141.0
Alaska,2015,50997.0
Alaska,2016,52428.0
Alaska,2017,51474.0
Alaska,2018,52805.0
Alaska,2019,55735.0
Alaska,2020,57936.0
Arizona,1980,7722.0
Arizona,1981,8602.0
Arizona,1982,9489.0
Arizona,1983,9872.0
Arizona,1984,10678.0
Arizona,1985,11696.0
Arizona,1986,12479.0
Arizona,1987,13153.0
Arizona,1988,13615.0
Arizona,1989,14382.0
Arizona,1990,14990.0
Arizona,1991,15440.0
Arizona,1992,15840.0
Arizona,1993,16429.0
Arizona,1994,16974.0
Arizona,1995,17750.0
Arizona,1996,18526.0
Arizona,1997,19202.0
Arizona,1998,20080.0
Arizona,1999,21192.0
Arizona,2000,21708.0
Arizona,2001,22895.0
Arizona,2002,23527.0
Arizona,2003,24396.0
Arizona,2004,25515.0
Arizona,2005,27158.0
Arizona,2006,28797.0
Arizona,2007,30901.0
Arizona,2008,31905.0
Arizona,2009,32012.0
Arizona,2010,30844.0
Arizona,2011,30921.0
Arizona,2012,31717.0
Arizona,2013,32842.0
Arizona,2014,33016.0
Arizona,2015,34518.0
Arizona,2016,35628.0
Arizona,2017,36614.0
Arizona,2018,38249.0
Arizona,2019,40164.0
Arizona,2020,41340.0
Arkansas,1980,6355.0
Arkansas,1981,6773.0
Arkansas,1982,7669.0
Arkansas,1983,8006.0
Arkansas,1984,8538.0
Arkansas,1985,9533.0
Arkansas,1986,10065.0
Arkansas,1987,10588.0
Arkansas,1988,10933.0
Arkansas,1989,11754.0
Arkansas,1990,12550.0
Arkansas,1991,13137.0
Arkansas,1992,13787.0
Arkansas,1993,14838.0
Arkansas,1994,15301.0
Arkansas,1995,15957.0
Arkansas,1996,16674.0
Arkansas,1997,17424.0
Arkansas,1998,17992.0
Arkansas,1999,18855.0
Arkansas,2000,19453.0
Arkansas,2001,20199.0
Arkansas,2002,21202.0
Arkansas,2003,21936.0
Arkansas,2004,23320.0
Arkansas,2005,24645.0
Arkansas,2006,25473.0
Arkansas,2007,26662.0
Arkansas,2008,27954.0
Arkansas,2009,28699.0
Arkansas,2010,28545.0
Arkansas,2011,29278.0
Arkansas,2012,30785.0
Arkansas,2013,33039.0
Arkansas,2014,32752.0
Arkansas,2015,34624.0
Arkansas,2016,35682.0
Arkansas,2017,36415.0
Arkansas,2018,37612.0
Arkansas,2019,39213.0
Arkansas,2020,40321.0
California,1980,9410.0
California,1981,10434.0
California,1982,11518.0
California,1983,12165.0
California,1984,12896.0
California,1985,14046.0
California,1986,14755.0
California,1987,15467.0
California,1988,16073.0
California,1989,17205.0
California,1990,17869.0
California,1991,18711.0
California,1992,19253.0
California,1993,20135.0
California,1994,20437.0
California,1995,20913.0
California,1996,21714.0
California,1997,22592.0
California,1998,23454.0
California,1999,24963.0
California,2000,25881.0
California,2001,27613.0
California,2002,28805.0
California,2003,30011.0
California,2004,31372.0
California,2005,33132.0
California,2006,34313.0
California,2007,36600.0
California,2008,37690.0
California,2009,38100.0
California,2010,37674.0
California,2011,38861.0
California,2012,40628.0
California,2013,42904.0
California,2014,42674.0
California,2015,45204.0
California,2016,47863.0
California,2017,49895.0
California,2018,52092.0
California,2019,55045.0
California,2020,57389.0
Colorado,1980,8549.0
Colorado,1981,9589.0
Colorado,1982,10714.0
Colorado,1983,11429.0
Colorado,1984,12353.0
Colorado,1985,13361.0
