GeoFips,GeoName,LineCode,Description,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1000,Alabama,51,Disposable personal income (millions of dollars),25117.5,27622.7,30606.5,32640.5,34950.9,38618,41264.9,43684.9,45989.5,49858.6,53911.8,57409.8,60943.4,65722,68664.9,72403.1,76363.4,79536,83369,88728.8,91722.6,96192,99635.8,104090.6,109538.9,117761,123445.9,130464.7,136588.7,141413.6,142709.4,148309.8,152895.9,157976.4,158293.2,163941.8,170753,173580,181189,189593,196103.7
1000,Alabama,52,Population (persons) 1/,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
1000,Alabama,53,Per capita disposable personal income (dollars) 2/,6491,7082,7811,8315,8884,9772,10388,10944,11454,12391,13377,14175,14867,15821,16294,16995,17772,18364,19087,20144,20704,21606,22302,23234,24323,25992,27013,28184,29230,29972,29994,30992,31859,32805,32772,33860,35190,35690,37171,38790,39995
2000,Alaska,51,Disposable personal income (millions of dollars),4768.6,5506.6,6129.5,7614.2,8386.9,9027.2,9827.4,10047.9,9547.3,10017.3,10796.5,11369.7,11978.7,12814.8,13496,13911.8,14327.5,14689.5,15432.3,16146.1,16688.1,17919.5,18922,20208,21317.8,22452.7,23805.2,25306.8,27049.7,29657.5,30431.9,32623.4,34746.4,36117.4,35482.8,37548.2,38665.6,38165.6,39059.6,40973.1,42383.1
2000,Alaska,52,Population (persons) 1/,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545
2000,Alaska,53,Per capita disposable personal income (dollars) 2/,11817,13586,14647,16935,17172,17573,18455,18461,17703,18483,19732,20549,21008,21767,22515,23059,23705,24138,25176,26045,26710,28536,29859,31460,32877,34056,35693,37475,39761,43141,43543,45697,48117,49446,48141,50997,52428,51474,52805,55735,57936
4000,Arizona,51,Disposable personal income (millions of dollars),20375.1,23549.2,26664.6,28528.9,31702.4,35873.4,39725.8,43515.1,46796.6,50843.2,54296.9,56883.8,60010.2,64331.4,69005.6,75352.4,82114.4,88076.9,95119.2,103488.5,109056.3,118151.2,124067.3,131647,140595,153507.6,168149.7,186304.4,196782.2,201049,195647.5,198115.2,205290.2,215280.5,218985.3,232322.2,243326.8,254140.2,269426.9,287497.1,300903.8
4000,Arizona,52,Population (persons) 1/,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
4000,Arizona,53,Per capita disposable personal income (dollars) 2/,7722,8602,9489,9872,10678,11696,12479,13153,13615,14382,14990,15440,15840,16429,16974,17750,18526,19202,20080,21192,21708,22895,23527,24396,25515,27158,28797,30901,31905,32012,30844,30921,31717,32842,33016,34518,35628,36614,38249,40164,41340
5000,Arkansas,51,Disposable personal income (millions of dollars),14419.6,15501.5,17587.1,18367.6,19686,22115.2,23421.4,24691.6,25608.9,27535,29447.2,30959.3,32856.8,35847.5,37584,39796.8,42274.9,44817.1,46798.7,49519.9,51586.2,54104.4,57065.4,59356.4,63543.8,67767.1,70843,75233.1,79630.6,82497.1,82689.5,85550.5,90528,97535.2,96926.6,102744.4,106262,108877.6,112887.5,118020.2,121680.1
5000,Arkansas,52,Population (persons) 1/,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804
5000,Arkansas,53,Per capita disposable personal income (dollars) 2/,6355,6773,7669,8006,8538,9533,10065,10588,10933,11754,12550,13137,13787,14838,15301,15957,16674,17424,17992,18855,19453,20199,21202,21936,23320,24645,25473,26662,27954,28699,28545,29278,30785,33039,32752,34624,35682,36415,37612,39213,40321
6000,California,51,Disposable personal income (millions of dollars),218823.1,248346.5,279731.4,301925,327046.4,363016.2,390127.6,419192.1,446458.4,489727.3,522102.1,560582.5,586642.5,623681.3,639159.8,658421.4,688273.7,723365.6,761912.3,823461.7,866990.3,938515.8,993174.5,1046531.5,1105966,1178646.5,1229377.3,1318387.4,1366273.2,1394628.1,1392483.4,1450285.8,1529157.4,1628144.1,1632728.2,1744745.2,1862722.6,1954256.6,2050257.9,2172159.3,2267563.9
6000,California,52,Population (persons) 1/,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
6000,California,53,Per capita disposable personal income (dollars) 2/,9410,10434,11518,12165,12896,14046,14755,15467,16073,17205,17869,18711,19253,20135,20437,20913,21714,22592,23454,24963,25881,27613,28805,30011,31372,33132,34313,36600,37690,38100,37674,38861,40628,42904,42674,45204,47863,49895,52092,55045,57389
8000,Colorado,51,Disposable personal income (millions of dollars),24358.8,27893.9,31904.3,34991.7,38709.9,42355.6,44775.6,46686.9,48254.9,51195.3,54754.5,57786.7,61378.4,66691,71993.9,77212.5,83917.8,89863.2,95959.8,105661.4,113760.5,125716.5,133456.9,137072,141261.8,146521.4,154743.1,165881.1,175525.8,182427,178805.8,183642.2,197108.2,209932,219136.8,238092.1,248751.6,253130.6,272982.7,295351.6,309254.8
