STATE,YEAR,Disposable Income Per Capita,GDP Growth,Avg Unemployment
Alabama,1980,6491.0,-0.6,9.200000000000001
Alabama,1981,7082.0,1.8,10.316666666666666
Alabama,1982,7811.0,-2.5,14.083333333333334
Alabama,1983,8315.0,4.9,13.850000000000001
Alabama,1984,8884.0,4.7,11.033333333333333
Alabama,1985,9772.0,4.7,9.0
Alabama,1986,10388.0,1.0,9.866666666666667
Alabama,1987,10944.0,5.5,7.883333333333334
Alabama,1988,11454.0,4.9,7.1000000000000005
Alabama,1989,12391.0,-0.1,7.116666666666666
Alabama,1990,13377.0,1.6,6.683333333333333
Alabama,1991,14175.0,2.8,7.3500000000000005
Alabama,1992,14867.0,4.3,7.633333333333334
Alabama,1993,15821.0,1.5,7.483333333333333
Alabama,1994,16294.0,4.0,6.083333333333333
Alabama,1995,16995.0,3.4,6.083333333333333
Alabama,1996,17772.0,3.4,5.166666666666667
Alabama,1997,18364.0,3.4,5.05
Alabama,1998,19087.0,3.6,4.416666666666667
Alabama,1999,20144.0,3.7,4.783333333333334
Alabama,2000,20704.0,1.6,4.516666666666667
Alabama,2001,21606.0,-0.4,4.95
Alabama,2002,22302.0,2.6,5.866666666666667
Alabama,2003,23234.0,2.5,6.116666666666666
Alabama,2004,24323.0,6.5,5.733333333333333
Alabama,2005,25992.0,3.4,4.416666666666667
Alabama,2006,27013.0,1.9,4.1000000000000005
Alabama,2007,28184.0,0.6,3.9
Alabama,2008,29230.0,-0.7,5.483333333333333
Alabama,2009,29972.0,-3.4,11.299999999999999
Alabama,2010,29994.0,2.3,10.200000000000001
Alabama,2011,30992.0,1.4,9.833333333333332
Alabama,2012,31859.0,0.5,8.133333333333333
Alabama,2013,32805.0,1.2,7.116666666666667
Alabama,2014,32772.0,-0.7,6.8
Alabama,2015,33860.0,1.0,6.1499999999999995
Alabama,2016,35190.0,1.1,5.816666666666666
Alabama,2017,35690.0,1.1,4.3
Alabama,2018,37171.0,2.3,3.9499999999999997
Alabama,2019,38790.0,1.4,2.9
Alabama,2020,39995.0,-9.1,8.516666666666667
Alaska,1980,11817.0,15.9,9.883333333333333
Alaska,1981,13586.0,15.3,9.299999999999999
Alaska,1982,14647.0,2.6,9.916666666666666
Alaska,1983,16935.0,-2.7,9.766666666666666
Alaska,1984,17172.0,4.0,9.85
Alaska,1985,17573.0,11.1,9.683333333333332
Alaska,1986,18455.0,-16.3,11.133333333333333
