GeoFips,GeoName,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
1000,Alabama,6.4,2.7,-0.6,1.8,-2.5,4.9,4.7,4.7,1,5.5,4.9,-0.1,1.6,2.8,4.3,1.5,4,3.4,3.4,3.4,3.6,3.7,1.6,-0.4,2.6,2.5,6.5,3.4,1.9,0.6,-0.7,-3.4,2.3,1.4,0.5,1.2,-0.7,1,1.1,1.1,2.3,1.4,-9.1
2000,Alaska,9,4.9,15.9,15.3,2.6,-2.7,4,11.1,-16.3,18.3,-5.7,4.1,-0.7,-10.3,1.3,-0.4,0.5,5.4,-1.2,1.1,-2.6,-1.1,-3,3.7,4.6,-1.8,3.8,3,7.7,5.4,-0.5,9.9,-3,0.9,5.5,-5.1,-2.3,1,-1.3,-0.9,0.2,0.6,-11.2
4000,Arizona,10.5,9.4,3.1,2.8,-2.4,5.7,10.8,6.4,5.9,4.2,4.8,0.9,0.8,0.4,10.2,5.1,9.7,7.6,7.9,7,8.7,8.2,4.9,2.3,3.2,6.4,4.2,8.2,5.4,2.8,-2.6,-8.1,1,2.2,1.9,0.7,1.5,2.9,3.3,3.7,3.9,3.1,-7.8
5000,Arkansas,6.5,1.5,-1.5,3.6,-2.7,3.2,7.8,1,2,3.5,3.8,2,1.1,4.5,5.9,3,5.7,4.1,4.5,3.4,2.5,5.4,1,-0.2,3.2,4,4.6,3.5,2.2,-0.8,-0.3,-3.2,2.6,2,0.4,2.4,1.3,1.1,0.5,1.3,1.5,0.6,-8.8
6000,California,6.9,4,3,3.3,0,3.6,8,5.1,3.8,6.2,5.7,3.8,2.9,-1.4,-0.2,-0.4,1.9,4,4,6,6.6,7.7,8,-0.1,2.4,4.7,4,4.5,4.2,1.5,0.4,-4,1.5,1.6,2.5,3.5,4.4,5.2,3.4,4.3,3.1,3.4,-10
8000,Colorado,7.7,6.5,3.6,4.3,2,1.3,5.7,2.6,-0.6,1.8,3.1,1.2,2.3,2.1,6.9,6.6,6.8,5.7,5.4,8.2,9,7.5,7.7,1.5,0.2,0.8,1,4.2,1.9,3.3,1.2,-2.1,1.1,1.2,1.9,3.3,4.3,4.8,2.2,4,4.4,3.9,-8.2
9000,Connecticut,5.5,3.9,1.9,2.3,2.6,5,9.2,5.3,4.6,7.6,6.1,1.3,0.5,-2.4,1.4,-1.3,2.3,6.2,2.6,6.3,2.9,3.1,6.9,1.7,0,1,6.6,2.4,3.8,3.7,-0.6,-4.2,-0.3,-2.2,0.7,-2.3,-0.4,3.2,0.3,0.9,0.4,0.9,-10.3
10000,Delaware,4.4,0.6,-1.8,2,1.1,7.9,7.4,6.2,2.8,7.1,4.6,7.3,2.3,4,0.9,-0.9,6.7,4.1,1.9,3.1,9.4,7.6,4.3,4.9,-3.6,1.8,4.5,-1.2,2.6,-0.2,-4.2,3.8,-0.4,3.2,-1,-3.8,7.8,3.7,-5.5,-1.7,2.1,1.8,-8.8
11000,District of Columbia,2.3,1.3,-0.9,-1.8,-2.9,1,2.1,1.5,0.6,2.8,4.4,1.9,2.1,-1.8,0.7,1.4,0,-2.7,-1.3,1,1.7,4.3,0.8,3.8,3.1,2.1,5.1,2.1,0.3,2.7,3.7,-0.4,3.4,1.8,0.6,0.2,1.8,1.9,2.1,0.7,2,1,-5.8
12000,Florida,8.2,6.5,4.9,4.9,2.4,5.8,8.4,5.4,4.4,6.5,6.2,3.6,2.4,0.5,3.7,3.8,4.9,3.7,5.1,4.3,5,4.3,4.4,2.7,4,4.4,6,6.5,3.4,0.1,-3.8,-5.5,1,-0.4,0.7,2,2.8,4.5,3.4,3.6,3.8,2.8,-9.6
13000,Georgia,6,4.8,1.2,4.2,1.5,6.5,9.7,7.5,5.8,5,4.5,2,1.8,1.3,5.7,4.6,7.2,5.6,6.7,5.3,7.3,7.1,3.4,1,1.2,2.8,4.5,3.8,1.2,0.4,-2.3,-3.9,1.3,1.7,1.3,1.4,3.4,4.1,3.4,3.7,3.7,1.6,-8.7
15000,Hawaii,3.9,5.1,3.5,-0.4,0.8,4,3.7,3.4,3.4,4.5,6.8,5.9,6.9,1.5,2.7,-1.7,-0.2,-1.3,-1.1,-0.2,-2.5,1.5,2.3,-0.5,3.2,5,6.7,5.6,2.7,1.1,0.7,-3.6,2.8,1.6,2,0.8,0.3,3.6,2.5,2.5,1.4,0.3,-14.8
16000,Idaho,7.9,2,0.6,0.5,-4.1,4.9,1.8,2.3,-2,2.4,5.4,6.4,3.6,2.1,6.9,8.7,8,8.3,3.3,4.8,4.9,9.5,11.4,-2.7,2.5,2.7,5.7,7.8,4,1.9,1.8,-4.5,1.5,-0.2,-0.1,3.8,2.8,2.6,3.8,4.2,5.9,3.4,-9.8
17000,Illinois,4.3,1.6,-3.4,1.3,-3.5,1.1,7.2,2.9,2.2,3.2,5.6,1.9,1.1,-0.1,3.9,2.1,6.2,2.7,4,4.7,3.2,3.7,3.7,0.2,0.7,1.5,2.9,1.9,2.6,1,-1.6,-2.6,1.5,1.8,2,-0.1,2.2,1.6,-0.2,0.8,2.3,0.5,-9.9
18000,Indiana,4.7,0.6,-5.3,1.2,-5.5,2.4,9.1,1.9,1.6,3.8,5,3.6,0.4,0,6.4,3.1,6.1,3.1,4.1,4.6,6,3.2,4,-2,2.4,3.8,3.4,0.4,2.1,2.6,-0.3,-7,6.4,0.4,0.4,2.1,3.2,-0.6,1.5,2,2.8,1.6,-10.7
19000,Iowa,5.7,2.1,-2.6,3,-6.6,-4.1,5.5,2,-1.3,2.3,5.2,3.6,3,0.6,4.8,0.1,8.4,2.8,5.7,5.4,0.7,2.1,4.7,-1.2,2.8,4,8.3,2.8,1.5,4.4,-1.8,-2.3,2.7,1.4,3.7,0,4.9,3,-0.6,-0.3,2.3,0.4,-8.4
