year,state,candidate,party,outcome
1980,Alabama,Jim Folsom Jr.,democrat,0
1980,Alabama,Jeremiah Denton,republican,1
1980,Alabama,Sallie M. Hadnott,national democratic party of alabama,0
1980,Alabama,William A. Crew,libertarian,0
1980,Alabama,Michael R.A. Erdey,conservative,0
1980,Alabama,Jim Partain,statesman,0
1980,Alabama,Mohammed Oliver,socialist workers,0
1980,Alaska,Clark S. Gruening,democrat,0
1980,Alaska,Frank H. Murkowski,republican,1
1980,Arizona,Josefina Otero,socialist workers,0
1980,Arizona,Barry Goldwater,republican,1
1980,Arizona,Fred R. Esser,libertarian,0
1980,Arizona,Lorenzo Torrez,people before profits,0
1980,Arizona,Bill Schulz,democrat,0
1980,Arkansas,Dale Bumpers,democrat,1
1980,Arkansas,Bill Clark,republican,0
1980,California,Paul Gann,republican,0
1980,California,James C. (Jim) Griffin,american independent,0
1980,California,David Wald,peace and freedom,0
1980,California,David Bergland,libertarian,0
1980,California,Alan Cranston,democrat,1
1980,Colorado,Earl Higgerson,statesman,0
1980,Colorado,Henry John Olshaw,unaffiliated-american,0
1980,Colorado,Gary Hart,democrat,1
1980,Colorado,Mary Estill Buchanan,republican,0
1980,Connecticut,Louis Zemel,citizens,0
1980,Connecticut,Christopher J. Dodd,democrat,1
1980,Connecticut,Gerard G. Brennan,libertarian,0
1980,Connecticut,James L. Buckley,republican,0
1980,Florida,Bill Gunter,democrat,0
1980,Florida,Paula Hawkins,republican,1
1980,Georgia,Herman E. Talmadge,democrat,0
1980,Georgia,Mack Mattingly,republican,1
1980,Hawaii,Bud Shasteen,libertarian,0
1980,Hawaii,Daniel K. Inouye,democrat,1
1980,Hawaii,Cooper Brown,republican,0
1980,Idaho,Steve Symms,republican,1
1980,Idaho,Frank Church,democrat,0
1980,Idaho,Larry Fullmer,libertarian,0
1980,Illinois,David C. O'Neal,republican,0
1980,Illinois,Alan J. Dixon,democrat,1
1980,Illinois,Sidney Lens,citizens,0
1980,Illinois,Bruce Green,libertarian,0
1980,Illinois,Michael Soriano,workers world,0
1980,Illinois,Charles F. Wilson,communist,0
1980,Illinois,Burton Lee Artz,socialist workers,0
1980,Indiana,Birch Bayh,democrat,0
1980,Indiana,Dan Quayle,republican,1
1980,Iowa,Charles E. Grassley,republican,1
1980,Iowa,Garry De Young,by petition,0
1980,Iowa,John Ingram Henderson,by petition,0
1980,Iowa,Robert V. Hengerer,libertarian,0
1980,Iowa,John Culver,democrat,0
1980,Kansas,Bob Dole,republican,1
1980,Kansas,John Simpson,democrat,0
1980,Kentucky,Wendell H. Ford,democrat,1
1980,Kentucky,Mary Louise Foust,republican,0
1980,Louisiana,Naomi Bracey,no party,0
1980,Louisiana,Louis Woody Jenkins,democrat,0
1980,Louisiana,Russell B. Long,democrat,1
1980,Louisiana,Jerry C. Bardwell,republican,0
1980,Louisiana,Robert Max Ross,republican,0
1980,Maryland,Charles McC. Mathias Jr. ,republican,1
1980,Maryland,Edward T. Conroy,democrat,0
1980,Missouri,Gene McNary,republican,0
1980,Missouri,Thomas F. Eagleton,democrat,1
1980,Missouri,Martha Pettis,socialist workers,0
1980,Nevada,Allen Hacker,libertarian,0
1980,Nevada,Paul Laxalt,republican,1
1980,Nevada,Mary Gojack,democrat,0
1980,New Hampshire,Warren Rudman,republican,1
1980,New Hampshire,John A. Durkin,democrat,0
1980,New York,Richard Savadel,free libertarian,0
1980,New York,Thomas Soto,workers world,0
1980,New York,William R. Scott,communist,0
1980,New York,Victor A. Nieto,socialist workers,0
1980,New York,Elizabeth Holtzman,democrat,1
1980,New York,Jacob K. Javits,liberal,0
1980,North Carolina,F. W. (Rick) Pasotto,libertarian,0
1980,North Carolina,Robert Morgan,democrat,0
1980,North Carolina,John P. East,republican,1
1980,North Carolina,Rebecca Finch,socialist workers,0
1980,Ohio,James E. Betts,republican,0
1980,Ohio,John E. Powers,independent,0
1980,Ohio,John Glenn,democrat,1
1980,Oklahoma,Robert Murphy,libertarian,0
1980,Oklahoma,Don Nickles,republican,1
1980,Oklahoma,Charles Nesbitt,independent,0
1980,Oklahoma,Paul E. Trent,independent,0
1980,Oklahoma,Andy Coats,democrat,0
1980,Oregon,Ted Kulongoski,democrat,0
1980,Oregon,Bob Packwood,republican,1
1980,Oregon,Tonie Nathan,libertarian,0
1980,Pennsylvania,Pete Flaherty,democrat,0
1980,Pennsylvania,Linda Mohrbacher,socialist workers,0
1980,Pennsylvania,Lee Frissell,citizens,0
1980,Pennsylvania,Arlen Specter,republican,1
1980,Pennsylvania,Frank Kinces,communist,0
1980,Pennsylvania,David K. Walter,libertarian,0
1980,South Carolina,Marshall Mays,republican,0
1980,South Carolina,Ernest Fritz Hollings,democrat,1
1980,South Dakota,James Abdnor,republican,1
1980,South Dakota,George McGovern,democrat,0
1980,South Dakota,Wayne Peterson,independent,0
1980,Utah,Bruce Bangerter,independent,0
1980,Utah,Jake Garn,republican,1
1980,Utah,George M. Batchelor,american,0
1980,Utah,Dan Berman,democrat,0
1980,Vermont,Stewart M. Ledbetter,republican,0
1980,Vermont,Anthony N. Doria,independent,0
1980,Vermont,Patrick J. Leahy,democrat,1
1980,Vermont,Earl S. Gardiner,socialist,0
1980,Washington,Warren G. Magnuson,democrat,0
1980,Washington,Slade Gorton,republican,1
1980,Wisconsin,Robert W. Kasten Jr.,republican,1
1980,Wisconsin,Gaylord A. Nelson,democrat,0
1980,Wisconsin,Susan L. Hagen,socialist workers,0
1980,Wisconsin,Bervin J. Larson,libertarian,0
1980,Wisconsin,James P. Wickstrom,american independent,0
1982,Arizona,Dennis DeConcini,democrat,1
1982,Arizona,Pete Dunn,republican,0
1982,Arizona,"Randall ""Pete Bardo"" Clamons",libertarian,0
1982,California,"Theresa ""Tena"" Dietrich",american independent,0
1982,California,David Wald,peace and freedom,0
1982,California,Joseph Fuhrig,libertarian,0
1982,California,"Edmund G. Brown, Jr.",democrat,0
1982,California,Pete Wilson,republican,1
1982,Connecticut,Anthony Toby Moffett,democrat,0
1982,Connecticut,James A. Lewis,libertarian,0
1982,Connecticut,"Lucien P. DiFazio, Jr.",conservative,0
1982,Connecticut,"Lowell P. Weicker, Jr.",republican,1
1982,Delaware,David N. Levinson,democrat,0
1982,Delaware,"William V. Roth, Jr.",republican,1
1982,Delaware,Charles A. Baker,american,0
1982,Delaware,Lawrence D. Sullivan,libertarian,0
1982,Florida,Van B. Poole,republican,0
1982,Florida,Lawton Chiles,democrat,1
1982,Hawaii,Spark Matsunaga,democrat,1
1982,Hawaii,E. Floyd Bernier-Nachtwey,independent,0
1982,Hawaii,Clarence J. Brown,republican,0
1982,Indiana,Floyd J. Fithian,democrat,0
1982,Indiana,Richard G. Lugar,republican,1
1982,Indiana,Raymond James,american,0
1982,Maine,David F. Emery,republican,0
1982,Maine,George J. Mitchell,democrat,1
1982,Maryland,Paul S. Sarbanes,democrat,1
1982,Maryland,Lawrence J. Hogan,republican,0
1982,Massachusetts,Howard S. Katz,libertarian,0
1982,Massachusetts,Ray Shamie,republican,0
1982,Massachusetts,Edward M. Kennedy,democrat,1
1982,Michigan,"Donald W. Riegle, Jr.",democrat,1
1982,Michigan,Steve Beumer,socialist workers,0
1982,Michigan,Helen Halyard,workers league,0
1982,Michigan,Daniel Eller,american independent,0
1982,Michigan,Philip E. Ruppe,republican,0
1982,Michigan,Bette Erwin,libertarian,0
1982,Minnesota,Bill Onasch,socialist workers,0
1982,Minnesota,Mark Dayton,democrat,0
1982,Minnesota,Jeffrey M. Miller,new union,0
1982,Minnesota,Dave Durenberger,republican,1
1982,Minnesota,Fred G. Hewitt,libertarian,0
1982,Mississippi,John C. Stennis,democrat,1
1982,Mississippi,Haley Barbour,republican,0
1982,Missouri,Harriett Woods,democrat,0
1982,Missouri,John C. Danforth,republican,1
1982,Montana,Larry Williams,republican,0
1982,Montana,John Melcher,democrat,1
1982,Montana,Larry Dodge,libertarian,0
1982,Nebraska,Edward Zorinsky,democrat,1
1982,Nebraska,Jim Keck,republican,0
1982,Nebraska,Virginia Walsh,nominated by petition,0
1982,Nevada,Chic Hecht,republican,1
1982,Nevada,Howard Cannon,democrat,0
1982,New Jersey,Millicent Fenwick,republican,0
1982,New Jersey,Rose Zeidwerg Monyek,repeal tf807 (hr4277-79),0
1982,New Jersey,Martin E. Wendelken,independent,0
1982,New Jersey,Robert T. Bastien,grassroots,0
1982,New Jersey,Frank R. Lautenberg,democrat,1
1982,New Jersey,Henry Koch,libertarian,0
1982,New Jersey,Claire Moriarty,socialist workers,0
1982,New Jersey,Julius Levin,socialist labor,0
1982,New Mexico,Harrison H. Schmitt,republican,0
1982,New Mexico,Jeff Bingaman,democrat,1
1982,New York,Steven Wattenmaker,socialist workers,0
1982,New York,James j. McKeown,free libertarian,0
1982,North Dakota,Gene Knorr,republican,0
1982,North Dakota,Anna B. Bourgois,"god, family, and country",0
1982,North Dakota,Quentin N. Burdick,democrat,1
1982,Ohio,Philip Herzing,libertarian,0
1982,Ohio,Paul E. Pfeifer,republican,0
1982,Ohio,Howard M. Metzenbaum,democrat,1
1982,Ohio,Alicia Merel,independent,0
1982,Pennsylvania,Liane Norman,consumer,0
1982,Pennsylvania,Kipp Miriam Dawson,socialist workers,0
1982,Pennsylvania,Cyril H. Wecht,democrat,0
1982,Pennsylvania,John Heinz,republican,1
1982,Pennsylvania,Barbara I. Karkutt,libertarian,0
1982,Rhode Island,John H. Chafee,republican,1
1982,Rhode Island,Julius C. Michaelson,democrat,0
1982,Tennessee,Robin Beard,republican,0
1982,Tennessee,Jim Sasser,democrat,1
1982,Texas,Lineaus Hooper Lorette,citizens,0
1982,Texas,Lloyd Bentsen,democrat,1
1982,Texas,John E. Ford,libertarian,0
1982,Texas,Jim Collins,republican,0
1982,Utah,Lawrence R. Kauffman,american,0
1982,Utah,George Mercier,libertarian,0
1982,Utah,Orrin G. Hatch,republican,1
1982,Utah,Ted Wilson,democrat,0
1982,Vermont,Ion Laskaris,citizens,0
1982,Vermont,Robert T. Stafford,republican,1
1982,Vermont,Jerry Levy,liberty union,0
1982,Vermont,Bo Adlerbert,libertarian,0
1982,Vermont,Michael Edward Hackett,independent,0
1982,Vermont,James A. Guest,democrat,0
1982,Virginia,"Paul S. Trible, Jr.",republican,1
1982,Virginia,Richard J. (Dick) Davis,democrat,0
1982,Washington,King Lysen,independent,0
1982,Washington,Jesse Chiang,independent,0
1982,Washington,Doug Jewett,republican,0
1982,Washington,Henry M. Jackson,democrat,1
1982,West Virginia,William B. Hovland,socialist workers,0
1982,West Virginia,Cleve Benedict,republican,0
1982,West Virginia,Robert C. Byrd,democrat,1
1982,Wisconsin,Scott McCallum,republican,0
1982,Wisconsin,William Osborne Hart,labor and farm,0
1982,Wisconsin,William Proxmire,democrat,1
1982,Wisconsin,George Liljenfeldt,libertarian,0
1982,Wisconsin,Sanford G. Knapp,constitution,0
1982,Wyoming,Malcolm Wallop,republican,1
1982,Wyoming,Rodger McDaniel,democrat,0
1984,Alabama,Howell Heflin,democrat,1
1984,Alabama,S. D. (Yana) Davis,libertarian,0
1984,Alabama,Albert Lee Smith,republican,0
1984,Alaska,John E. Havelock,democrat,0
1984,Alaska,Ted Stevens,republican,1
1984,Arkansas,David Pryor,democrat,1
1984,Arkansas,Ed Bethune,republican,0
1984,Colorado,"William L. ""Bill"" Armstrong",republican,1
1984,Colorado,David Martin,socialist workers,0
1984,Colorado,Nancy Dick,democrat,0
1984,Colorado,Craig Green,libertarian,0
1984,Colorado,Earl Higgerson,prohibition,0
1984,Delaware,Joseph R. Biden Jr.,democrat,1
1984,Delaware,John M. Burris,republican,0
1984,Georgia,Mike Hicks,republican,0
1984,Georgia,Sam Nunn,democrat,1
1984,Idaho,Peter M. Busch,democrat,0
1984,Idaho,Donald B. Billings,libertarian,0
1984,Idaho,James A. McClure,republican,1
1984,Illinois,Nelson Gonzalez,socialist workers,0
1984,Illinois,Charles H. Percy,republican,0
1984,Illinois,Steven I. Givot,libertarian,0
1984,Illinois,Paul Simon,democrat,1
1984,Illinois,Marjorie H. Pries,citizens,0
1984,Illinois,Ishmael Flory,communist,0
1984,Iowa,Roger W. Jepsen,republican,0
1984,Iowa,Garry De Young,independent,0
1984,Iowa,Tom Harkin,democrat,1
1984,Kansas,James R. Maher,democrat,0
1984,Kansas,Freda H. Steele,prohibition,0
1984,Kansas,Marian Ruck Jackson,american,0
1984,Kansas,Douglas N. Merritt,libertarian,0
1984,Kansas,Lucille Bieger,communist,0
1984,Kansas,Nancy Landon Kassebaum,republican,1
1984,Kentucky,Walter (Dee) Huddleston,democrat,0
1984,Kentucky,Dave Welters,socialist workers,0
1984,Kentucky,Mitch McConnell,democrat,1
1984,Louisiana,J. Bennett Johnston Jr.,democrat,1
1984,Maine,P. Ann Stoddard,constitutionalist,0
1984,Maine,William S. Cohen,republican,1
1984,Maine,Elizabeth H. Mitchell,democrat,0
1984,Massachusetts,John F. Kerry,democrat,1
1984,Massachusetts,Raymond Shamie,republican,0
1984,Michigan,Lynn Johnston,libertarian,0
1984,Michigan,Max Dean,independent,0
1984,Michigan,Arthur Richard Tisch,tisch independent citizens,0
1984,Michigan,Carl Levin,democrat,1
1984,Michigan,Samuel L. Webb,communist,0
1984,Michigan,William Roundtree,workers world,0
1984,Michigan,Helen Meyers,socialist workers,0
1984,Michigan,Fred Mazelis,workers league,0
1984,Michigan,Jack Lousma,republican,0
1984,Minnesota,Joan Anderson Growe,democrat,0
1984,Minnesota,Richard Putman,libertarian,0
1984,Minnesota,Eleanor Garcia,socialist workers,0
1984,Minnesota,Jeffrey M. Miller,new union,0
1984,Minnesota,Rudy Boschwitz,republican,1
1984,Mississippi,William F. Winter,democrat,0
1984,Mississippi,Thad Cochran,republican,1
1984,Montana,Neil Halprin,libertarian,0
1984,Montana,Max Baucus,democrat,1
1984,Montana,Chuck Cozzens,republican,0
1984,Nebraska,J. J. Exon,democrat,1
1984,Nebraska,Nancy Hoch,republican,0
1984,New Hampshire,Norman E. D'Amours,democrat,0
1984,New Hampshire,Gordon J. Humphrey,republican,1
1984,New Hampshire,Saunder H. Primack,libertarian,0
1984,New Jersey,Harold F. Leiendecker,libertarian,0
1984,New Jersey,Bill Bradley,democrat,1
1984,New Jersey,James T. Hagen,prolife fiscal conservative,0
1984,New Jersey,Mary V. Mochary,republican,0
1984,New Jersey,Jasper C. Gould,contempt of court,0
1984,New Jersey,Julius Levin,socialist labor,0
1984,New Jersey,Priscilla Schenk,socialist workers,0
1984,New Mexico,Pete V. Domenici,republican,1
1984,New Mexico,Judith A. Pratt,democrat,0
1984,North Carolina,Jesse Helms,republican,1
1984,North Carolina,Kate Daher,socialist workers,0
1984,North Carolina,Bobby Yates Emory,libertarian,0
1984,North Carolina,James B. (Jim) Hunt Jr.,democrat,0
1984,Oklahoma,David Boren,democrat,1
1984,Oklahoma,Robert T. Murphy,libertarian,0
1984,Oklahoma,Will E. Bill Crozier,republican,0
1984,Oregon,Mark O. Hatfield,republican,1
1984,Oregon,Margie Hendriksen,democrat,0
1984,Rhode Island,Barbara M. Leonard,republican,0
1984,Rhode Island,Claiborne deB. Pell,democrat,1
1984,South Carolina,Strom Thurmond,republican,1
1984,South Carolina,Melvin Purvis,democrat,0
1984,South Carolina,Stephen Davis,libertarian,0
1984,South Dakota,George V. Cunningham,democrat,0
1984,South Dakota,Larry Pressler,republican,1
1984,Tennessee,Victor Ashe,republican,0
1984,Tennessee,Albert Gore Jr.,democrat,1
1984,Tennessee,Khalil-Ullah Al-Muhaymin,independent,0
1984,Tennessee,Ed McAteer,independent,0
1984,Texas,Lloyd Doggett,democrat,0
1984,Texas,Phil Gramm,republican,1
1984,Virginia,"Edythe C. ""Edie"" Harrison",democrat,0
1984,Virginia,John W. Warner,republican,1
1984,West Virginia,"Mary E. ""Joan"" Radin",socialist workers,0
1984,West Virginia,John R. Raese,republican,0
1984,West Virginia,Jay Rockefeller,democrat,1
1984,Wyoming,Victor A. Ryan,democrat,0
1984,Wyoming,Al Simpson,republican,1
1986,Alabama,Richard Shelby,democrat,1
1986,Alabama,Jeremiah Denton,republican,0
1986,Alaska,Chuck House,libertarian,0
1986,Alaska,Frank H. Murkowski,republican,1
1986,Alaska,Glenn Olds,democrat,0
1986,Arizona,Richard Kimball,democrat,0
1986,Arizona,John McCain,republican,1
1986,Arkansas,Asa Hutchinson,republican,0
1986,Arkansas,Dale Bumpers,democrat,1
1986,California,"Edward B. ""Ed"" Vallen",independent,0
1986,California,Alan Cranston,democrat,1
1986,California,Breck McKinley,libertarian,0
1986,California,Paul Kangas,peace and freedom,0
1986,California,Ed Zschau,republican,0
1986,Colorado,Henry John Olshaw,unaffiliated american,0
1986,Colorado,Ken Kramer,republican,0
1986,Colorado,Timothy E. Wirth,democrat,1
1986,Colorado,Michael R. Chamberlain,socialist workers,0
1986,Colorado,Michael Martin Bush,independent,0
1986,Colorado,Calvin G. Dodge,prohibition,0
1986,Connecticut,"Edward J. McCallum, Jr.",none,0
1986,Connecticut,Roger W. Eddy,republican,0
1986,Connecticut,Christopher J. Dodd,democrat,1
1986,Florida,Paula Hawkins,republican,0
1986,Florida,Bob Graham,democrat,1
1986,Georgia,Mack Mattingly,republican,0
1986,Georgia,Wyche Fowler Jr.,democrat,1
1986,Hawaii,Frank Hutchinson,republican,0
1986,Hawaii,Daniel K. Inouye,democrat,1
1986,Idaho,Steve Symms,republican,1
1986,Idaho,John V. Evans,democrat,0
1986,Illinois,Alan J. Dixon,democrat,1
1986,Illinois,Omari Musa,socialist workers,0
1986,Illinois,Donald M. Parrish Jr.,libertarian,0
1986,Illinois,Elinar V. Dyhrkopp,illinois solidarity,0
1986,Illinois,Judy Koehler,republican,0
1986,Indiana,Jill Lynette Long,democrat,0
1986,Indiana,Dan Quayle,republican,1
1986,Indiana,Bradford L. Warren,libertarian,0
1986,Indiana,Rockland R. Snyder,american,0
1986,Iowa,John Masters,nominated by petition,0
1986,Iowa,Charles E. Grassley,republican,1
1986,Iowa,John O. Roehrick,democrat,0
1986,Kansas,Bob Dole,republican,1
1986,Kansas,Guy MacDonald,democrat,0
1986,Kentucky,Jackson M. Andrews,republican,0
1986,Kentucky,Wendell H. Ford,democrat,1
1986,Louisiana,W. Henson Moore,republican,0
1986,Louisiana,John B. Breaux,democrat,1
1986,Maryland,Linda Chavez,republican,0
1986,Maryland,Barbara A. Mikulski,democrat,1
1986,Missouri,Betty Shepherd,independent,0
1986,Missouri,Christopher (Kit) Bond,republican,1
1986,Missouri,Harriett Woods,democrat,0
1986,Nevada,Jim Santini,republican,0
