year,state,candidate,outcome
2020,Alabama, Tommy Tuberville (Republican)[78],1
2020,Alabama,Doug Jones (Democratic)[78],0
2020,Alaska, Dan Sullivan (Republican)[79],1
2020,Alaska,Al Gross (Independent)[79],0
2020,Alaska,John Wayne Howe (Alaskan Independence)[79],0
2020,Alaska,"Sidney ""Sid"" Hill (Independent)[79]",0
2020,Alaska,Karen Nanouk (Independent)[79],0
2020,Alaska,Jed Whittaker (Green)[79],0
2020,Arkansas, Tom Cotton (Republican)[80],1
2020,Arkansas,"Ricky Dale Harrington, Jr. (Libertarian)[80]",0
2020,Colorado, John Hickenlooper (Democratic)[81],1
2020,Colorado,Cory Gardner (Republican)[81],0
2020,Colorado,Raymon Anthony Doane (Libertarian)[81],0
2020,Colorado,Daniel Doyle (Approval Voting)[81],0
2020,Colorado,"Stephan ""Seku"" Evans (Unity)[81]",0
2020,Delaware, Chris Coons (Democratic)[82],1
2020,Delaware,Nadine Frost (Libertarian)[82],0
2020,Delaware,Mark Turley (Delaware Independent)[82],0
2020,Delaware,Lauren Witzke (Republican)[82],0
2020,Georgia,David Perdue (Republican)[77],
2020,Georgia,Jon Ossoff (Democratic)[77],
2020,Georgia,Shane Hazel (Libertarian)[77],
2020,Idaho, Jim Risch (Republican)[83],1
2020,Idaho,Natalie Fleming (Independent)[83],0
2020,Idaho,Paulette Jordan (Democratic)[83],0
2020,Idaho,Ray Writz (Constitution)[83],0
2020,Illinois, Dick Durbin (Democratic)[84],1
2020,Illinois,David F. Black (Green)[84],0
2020,Illinois,Mark Curran (Republican)[84],0
2020,Illinois,Danny Malouf (Libertarian)[84],0
2020,Illinois,Willie Wilson (Willie Wilson Party)[84],0
2020,Iowa, Joni Ernst (Republican)[86],1
2020,Iowa,Theresa Greenfield (Democratic)[86],0
2020,Iowa,Suzanne Herzog (Independent)[86],0
2020,Iowa,Rick Stewart (Libertarian)[86],0
2020,Kansas, Roger Marshall (Republican)[87],1
2020,Kansas,Barbara Bollier (Democratic)[87],0
2020,Kansas,Jason Buckley (Libertarian)[87],0
2020,Kentucky, Mitch McConnell (Republican)[88],1
2020,Kentucky,Brad Barron (Libertarian)[88],0
2020,Kentucky,Amy McGrath (Democratic)[88],0
2020,Louisiana, Bill Cassidy (Republican)[89],1
2020,Louisiana,Beryl Billiot (Independent)[89],0
2020,Louisiana,John Paul Bourgeois (Independent)[89],0
2020,Louisiana,Reno Daret III (Independent)[89],0
2020,Louisiana,Champ Edwards (Democratic)[89],0
2020,Louisiana,Xan John (Independent)[89],0
2020,Louisiana,David Drew Knight (Democratic)[89],0
2020,Louisiana,Vinny Mendoza (Independent)[89],0
2020,Louisiana,Jamar Montgomery (Independent)[89],0
2020,Louisiana,Dustin Murphy (Republican)[89],0
2020,Louisiana,Adrian Perkins (Democratic)[89],0
2020,Louisiana,Antoine Pierce (Democratic)[89],0
2020,Louisiana,Melinda Mary Price (Independent)[89],0
2020,Louisiana,Aaron Sigler (Libertarian)[89],0
2020,Louisiana,Peter Wenstrup (Democratic)[89],0
2020,Maine, Susan Collins (Republican)[90],1
2020,Maine,Sara Gideon (Democratic)[90],0
2020,Maine,Max Patrick Linn (Independent)[90],0
2020,Maine,Lisa Savage (Independent Green)[90],0
2020,Massachusetts, Ed Markey (Democratic)[91],1
2020,Massachusetts,Kevin O'Connor (Republican)[91],0
2020,Michigan, Gary Peters (Democratic)[93],1
2020,Michigan,John James (Republican)[93],0
2020,Michigan,Marcia Squier (Green)[93],0
2020,Michigan,Doug Dern (Natural Law)[93],0
2020,Michigan,Valerie Willis (U.S. Taxpayers)[93],0
2020,Minnesota, Tina Smith (Democratic)[94],1
2020,Minnesota,Jason Lewis (Republican)[94],0
2020,Minnesota,Kevin O'Connor (Legal Marijuana Now)[94],0
2020,Minnesota,Oliver Steinberg (Legalize Cannabis)[94],0
2020,Mississippi, Cindy Hyde-Smith (Republican)[97],1
2020,Mississippi,Jimmy Edwards (Libertarian)[97],0
2020,Mississippi,Mike Espy (Democratic)[97],0
2020,Montana, Steve Daines (Republican)[98],1
2020,Montana,Steve Bullock (Democratic)[98],0
2020,Nebraska, Ben Sasse (Republican)[99],1
2020,Nebraska,Chris Janicek (Democratic)[99],0
2020,Nebraska,Gene Siadek (Libertarian)[99],0
2020,New Hampshire, Jeanne Shaheen (Democratic)[101],1
2020,New Hampshire,Corky Messner (Republican)[101],0
2020,New Hampshire,Justin O'Donnell (Libertarian)[101],0
2020,New Jersey, Cory Booker (Democratic)[102],1
2020,New Jersey,Daniel Burke (LaRouche was Right)[102],0
2020,New Jersey,"Veronica Fernandez (Of, By, For!)[102]",0
2020,New Jersey,Madelyn R. Hoffman (Green)[102],0
2020,New Jersey,Rik Mehta (Republican)[102],0
2020,New Mexico, Ben Ray Luján (Democratic)[106],1
2020,New Mexico,Mark Ronchetti (Republican)[106],0
2020,New Mexico,Bob Walsh (Libertarian)[106],0
2020,North Carolina, Thom Tillis (Republican)[107],1
2020,North Carolina,Shannon Bray (Libertarian)[107],0
2020,North Carolina,Cal Cunningham (Democratic)[107],0
2020,North Carolina,Kevin Hayes (Constitution)[107],0
2020,Oklahoma, Jim Inhofe (Republican)[108],1
2020,Oklahoma,Abby Broyles (Democratic)[108],0
2020,Oklahoma,Joan Farr (Independent)[108],0
2020,Oklahoma,Robert Murphy (Libertarian)[108],0
2020,Oklahoma,A. D. Nesbit (Independent)[108],0
2020,Oregon, Jeff Merkley (Democratic)[109],1
2020,Oregon,Gary Dye (Libertarian)[109],0
2020,Oregon,Jo Rae Perkins (Republican)[109],0
2020,Oregon,Ibrahim Taher (Pacific Green)[109],0
2020,Rhode Island, Jack Reed (Democratic)[110],1
2020,Rhode Island,Allen Waters (Republican)[110],0
2020,South Carolina, Lindsey Graham (Republican)[111],1
2020,South Carolina,Jaime Harrison (Democratic)[111],0
2020,South Carolina,Bill Bledsoe (Constitution)[112],0
2020,South Dakota, Mike Rounds (Republican)[114],1
2020,South Dakota,Dan Ahlers (Democratic)[114],0
2020,Tennessee, Bill Hagerty (Republican)[115],1
2020,Tennessee,Marquita Bradshaw (Democratic)[115],0
2020,Tennessee,Romi Faparusi (Independent)[115],0
