year,state,candidate,party,outcome
1980,Alabama,Jim Folsom Jr.,democrat,0.0
1980,Alabama,Jeremiah Denton,republican,1.0
1980,Alabama,Sallie M. Hadnott,other,0.0
1980,Alabama,William A. Crew,other,0.0
1980,Alabama,Michael R.A. Erdey,other,0.0
1980,Alabama,Jim Partain,other,0.0
1980,Alabama,Mohammed Oliver,other,0.0
1980,Alaska,Clark S. Gruening,democrat,0.0
1980,Alaska,Frank H. Murkowski,republican,1.0
1980,Arizona,Josefina Otero,other,0.0
1980,Arizona,Barry Goldwater,republican,1.0
1980,Arizona,Fred R. Esser,other,0.0
1980,Arizona,Lorenzo Torrez,other,0.0
1980,Arizona,Bill Schulz,democrat,0.0
1980,Arkansas,Dale Bumpers,democrat,1.0
1980,Arkansas,Bill Clark,republican,0.0
1980,California,Paul Gann,republican,0.0
1980,California,James C. (Jim) Griffin,other,0.0
1980,California,David Wald,other,0.0
1980,California,David Bergland,other,0.0
1980,California,Alan Cranston,democrat,1.0
1980,Colorado,Earl Higgerson,other,0.0
1980,Colorado,Henry John Olshaw,other,0.0
1980,Colorado,Gary Hart,democrat,1.0
1980,Colorado,Mary Estill Buchanan,republican,0.0
1980,Connecticut,Louis Zemel,other,0.0
1980,Connecticut,Christopher J. Dodd,democrat,1.0
1980,Connecticut,Gerard G. Brennan,other,0.0
1980,Connecticut,James L. Buckley,republican,0.0
1980,Florida,Bill Gunter,democrat,0.0
1980,Florida,Paula Hawkins,republican,1.0
1980,Georgia,Herman E. Talmadge,democrat,0.0
1980,Georgia,Mack Mattingly,republican,1.0
1980,Hawaii,Bud Shasteen,other,0.0
1980,Hawaii,Daniel K. Inouye,democrat,1.0
1980,Hawaii,Cooper Brown,republican,0.0
1980,Idaho,Steve Symms,republican,1.0
1980,Idaho,Frank Church,democrat,0.0
1980,Idaho,Larry Fullmer,other,0.0
1980,Illinois,David C. O'Neal,republican,0.0
1980,Illinois,Alan J. Dixon,democrat,1.0
1980,Illinois,Sidney Lens,other,0.0
1980,Illinois,Bruce Green,other,0.0
1980,Illinois,Michael Soriano,other,0.0
1980,Illinois,Charles F. Wilson,other,0.0
1980,Illinois,Burton Lee Artz,other,0.0
1980,Indiana,Birch Bayh,democrat,0.0
1980,Indiana,Dan Quayle,republican,1.0
1980,Iowa,Charles E. Grassley,republican,1.0
1980,Iowa,Garry De Young,other,0.0
1980,Iowa,John Ingram Henderson,other,0.0
1980,Iowa,Robert V. Hengerer,other,0.0
1980,Iowa,John Culver,democrat,0.0
