NAME,START,END,STATE,PARTY,TERMS
James Abdnor,1981,1986,South Dakota,Republican,1
Spencer Abraham,1995,2000,Michigan,Republican,1
Brock Adams,1987,1992,Washington,Democratic,1
Daniel Akaka,1990,2012,Hawaii,Democratic,3
Wayne Allard,1997,2008,Colorado,Republican,2
George Allen,2001,2006,Virginia,Republican,1
Mark Andrews,1981,1986,North Dakota,Republican,1
William L. Armstrong,1979,1990,Colorado,Republican,2
John Ashcroft,1995,2000,Missouri,Republican,1
Kelly Ayotte,2011,2016,New Hampshire,Republican,1
Howard Baker Jr.,1967,1984,Tennessee,Republican,3
Dean Barkley,2002,2002,Minnesota,"<a href=""/wiki/Independence_Party_of_Minnesota"" title=""Independence Party of Minnesota"">Independence</a>",1
Max Baucus,1978,2013,Montana,Democratic,6
Birch Bayh,1963,1980,Indiana,Democratic,3
Evan Bayh,1999,2010,Indiana,Democratic,2
Mark Begich,2009,2014,Alaska,Democratic,1
Henry Bellmon,1969,1980,Oklahoma,Republican,2
Bob Bennett,1993,2010,Utah,Republican,3
Lloyd Bentsen,1971,1992,Texas,Democratic,3
Joe Biden,1973,2008,Delaware,Democratic,6
Jeff Bingaman,1983,2012,New Mexico,Democratic,5
Kit Bond,1987,2010,Missouri,Republican,4
David L. Boren,1979,1993,Oklahoma,Democratic,2
Rudy Boschwitz,1979,1990,Minnesota,Republican,2
Barbara Boxer,1993,2016,California,Democratic,4
Bill Bradley,1979,1996,New Jersey,Democratic,3
Nicholas F. Brady,1982,1981,New Jersey,Republican,1
John Breaux,1987,2004,Louisiana,Democratic,3
Hank Brown,1991,1996,Colorado,Republican,1
Scott Brown,2010,2012,Massachusetts,Republican,1
Sam Brownback,1996,2010,Kansas,Republican,2
Jim Broyhill,1986,1985,North Carolina,Republican,1
Richard Bryan,1989,2000,Nevada,Democratic,2
Dale Bumpers,1975,1998,Arkansas,Democratic,4
Jim Bunning,1999,2010,Kentucky,Republican,2
Jocelyn Birch Burdick,1992,1991,North Dakota,Democratic,1
Quentin N. Burdick,1961,1991,North Dakota,Democratic,5
Conrad Burns,1989,2006,Montana,Republican,3
Roland Burris,2009,2009,Illinois,Democratic,1
Harry F. Byrd Jr.,1970,1983,Virginia,Independent,2
Robert C. Byrd,1959,2009,West Virginia,Democratic,8
Ben Nighthorse Campbell,1993,1995,Colorado,Democratic,1
Ben Nighthorse Campbell,1995,2005,Colorado,Republican,1
Howard W. Cannon,1959,1982,Nevada,Democratic,4
Jean Carnahan,2001,2001,Missouri,Democratic,1
John Chafee,1976,1998,Rhode Island,Republican,3
Lincoln Chafee,1999,2006,Rhode Island,Republican,1
Saxby Chambliss,2003,2014,Georgia,Republican,2
Jeffrey Chiesa,2013,2012,New Jersey,Republican,1
Lawton Chiles,1971,1988,Florida,Democratic,3
Frank Church,1957,1980,Idaho,Democratic,4
Max Cleland,1997,2002,Georgia,Democratic,1
Hillary Clinton,2001,2008,New York,Democratic,1
Daniel R. Coats,1989,1999,Indiana,Republican,1
Daniel R. Coats,2011,2017,Indiana,Republican,1
Tom Coburn,2005,2014,Oklahoma,Republican,1
Thad Cochran,1978,2017,Mississippi,Republican,6
William S. Cohen,1979,1996,Maine,Republican,3
Norm Coleman,2003,2008,Minnesota,Republican,1
Kent Conrad,1987,1992,North Dakota,Democratic,1
Kent Conrad,1992,2013,North Dakota,Democratic,3
Bob Corker,2007,2018,Tennessee,Republican,2
Jon Corzine,2001,2005,New Jersey,Democratic,1
Paul Coverdell,1993,1999,Georgia,Republican,1
Mo Cowan,2013,2012,Massachusetts,Democratic,1
Larry Craig,1991,2008,Idaho,Republican,3
Alan Cranston,1969,1992,California,Democratic,4
John Culver,1975,1980,Iowa,Democratic,1
Alfonse M. D'Amato,1981,1998,New York,Republican,3
John C. Danforth,1977,1994,Missouri,Republican,3
Tom Daschle,1987,2004,South Dakota,Democratic,3
Mark Dayton,2001,2006,Minnesota,Democratic,1
Dennis DeConcini,1977,1994,Arizona,Democratic,3
Jim DeMint,2005,2012,South Carolina,Republican,1
Jeremiah Denton,1981,1986,Alabama,Republican,1
Mike DeWine,1995,2006,Ohio,Republican,2
Alan J. Dixon,1981,1992,Illinois,Democratic,2
Christopher Dodd,1981,2010,Connecticut,Democratic,5
Bob Dole,1969,1995,Kansas,Republican,4
Elizabeth Dole,2003,2008,North Carolina,Republican,1
Pete Domenici,1973,2008,New Mexico,Republican,6
Joe Donnelly,2013,2018,Indiana,Democratic,1
Byron Dorgan,1992,2010,North Dakota,Democratic,3
David Durenberger,1978,1994,Minnesota,Republican,2
John A. Durkin,1975,1979,New Hampshire,Democratic,1
Thomas Eagleton,1969,1986,Missouri,Democratic,3
John Porter East,1981,1985,North Carolina,Republican,1
John Edwards,1999,2004,North Carolina,Democratic,1
John Ensign,2001,2010,Nevada,Republican,1
Daniel J. Evans,1983,1988,Washington,Republican,1
John J. Exon,1979,1996,Nebraska,Democratic,3
Lauch Faircloth,1993,1998,North Carolina,Republican,1
Russ Feingold,1993,2010,Wisconsin,Democratic,3
Peter Fitzgerald,1999,2004,Illinois,Republican,1
Jeff Flake,2013,2018,Arizona,Republican,1
Wendell H. Ford,1974,1998,Kentucky,Democratic,4
Wyche Fowler,1987,1992,Georgia,Democratic,1
Sheila Frahm,1996,1995,Kansas,Republican,1
Al Franken,2009,2017,Minnesota,Democratic,1
Bill Frist,1995,2006,Tennessee,Republican,2
Jake Garn,1974,1992,Utah,Republican,3
John Glenn,1974,1998,Ohio,Democratic,4
Barry Goldwater,1969,1987,Arizona,Republican,3
Carte Goodwin,2010,2009,West Virginia,Democratic,1
Albert Gore Jr.,1985,1992,Tennessee,Democratic,1
Slade Gorton,1981,1987,Washington,Republican,1
Slade Gorton,1989,2001,Washington,Republican,2
Bob Graham,1987,2004,Florida,Democratic,3
Phil Gramm,1985,2001,Texas,Republican,2
Rod Grams,1995,2000,Minnesota,Republican,1
Mike Gravel,1969,1980,Alaska,Democratic,2
Judd Gregg,1993,2010,New Hampshire,Republican,3
Kay Hagan,2009,2014,North Carolina,Democratic,1
Chuck Hagel,1997,2008,Nebraska,Republican,2
Tom Harkin,1985,2014,Iowa,Democratic,5
Gary Hart,1975,1986,Colorado,Democratic,2
Orrin Hatch,1977,2018,Utah,Republican,7
Mark Hatfield,1967,1996,Oregon,Republican,5
Paula Hawkins,1981,1986,Florida,Republican,1
S. I. Hayakawa,1977,1982,California,Republican,1
Chic Hecht,1983,1988,Nevada,Republican,1
Howell Heflin,1979,1996,Alabama,Democratic,3
H. John Heinz III,1977,1990,Pennsylvania,Republican,2
Heidi Heitkamp,2013,2018,North Dakota,Democratic,1
Dean Heller,2011,2018,Nevada,Republican,1
Jesse Helms,1973,2002,North Carolina,Republican,5
Fritz Hollings,1966,2004,South Carolina,Democratic,6
Walter Huddleston,1973,1984,Kentucky,Democratic,2
Gordon J. Humphrey,1979,1989,New Hampshire,Republican,1
Tim Hutchinson,1997,2002,Arkansas,Republican,1
Kay Bailey Hutchison,1993,2012,Texas,Republican,3
Daniel Inouye,1963,2011,Hawaii,Democratic,8
Johnny Isakson,2005,2018,Georgia,Republican,2
Henry M. Jackson,1953,1982,Washington,Democratic,5
Jacob Javits,1957,1980,New York,Republican,4
Jim Jeffords,1989,2001,Vermont,Republican,2
Jim Jeffords,2001,2007,Vermont,Independent,1
Roger Jepsen,1979,1984,Iowa,Republican,1
Mike Johanns,2009,2014,Nebraska,Republican,1
Tim Johnson,1997,2014,South Dakota,Democratic,3
Bennett Johnston,1972,1996,Louisiana,Democratic,4
David Karnes,1987,1988,Nebraska,Republican,1
Nancy Landon Kassebaum,1979,1996,Kansas,Republican,3
Robert W. Kasten Jr.,1981,1992,Wisconsin,Republican,2
Ted Kaufman,2009,2009,Delaware,Democratic,1
Dirk Kempthorne,1993,1998,Idaho,Republican,1
Ted Kennedy,1962,2008,Massachusetts,Democratic,7
Bob Kerrey,1989,2000,Nebraska,Democratic,2
John Kerry,1985,2012,Massachusetts,Democratic,4
Paul G. Kirk,2009,2009,Massachusetts,Democratic,1
Mark Kirk,2010,2016,Illinois,Republican,1
Herb Kohl,1989,2012,Wisconsin,Democratic,4
Bob Krueger,1993,1992,Texas,Democratic,1
Jon Kyl,1995,2013,Arizona,Republican,3
Jon Kyl,2018,2018,Arizona,Republican,1
Mary Landrieu,1997,2014,Louisiana,Democratic,3
Frank Lautenberg,1982,2001,New Jersey,Democratic,3
Frank Lautenberg,2003,2013,New Jersey,Democratic,1
Paul Laxalt,1974,1986,Nevada,Republican,2
George LeMieux,2009,2010,Florida,Republican,1
Carl Levin,1979,2014,Michigan,Democratic,6
Joe Lieberman,1989,2006,Connecticut,Democratic,2
Joe Lieberman,2006,2013,Connecticut,"<a href=""/wiki/Independent_Democrat"" title=""Independent Democrat"">Independent Democrat</a>",1
Blanche Lincoln,1999,2010,Arkansas,Democratic,2
Russell B. Long,1948,1986,Louisiana,Democratic,6
Trent Lott,1989,2006,Mississippi,Republican,3
Richard Lugar,1977,2012,Indiana,Republican,6
Connie Mack III,1989,2000,Florida,Republican,2
Warren G. Magnuson,1944,1980,Washington,Democratic,6
Mel Martinez,2005,2008,Florida,Republican,1
Harlan Mathews,1993,1993,Tennessee,Democratic,1
Charles Mathias Jr.,1969,1986,Maryland,Republican,3
Spark Matsunaga,1977,1989,Hawaii,Democratic,2
Mack Mattingly,1981,1986,Georgia,Republican,1
John McCain,1987,2017,Arizona,Republican,5
Claire McCaskill,2007,2018,Missouri,Democratic,2
James A. McClure,1973,1990,Idaho,Republican,3
George McGovern,1963,1980,South Dakota,Democratic,3
Martha McSally,2019,2019,Arizona,Republican,1
John Melcher,1977,1988,Montana,Democratic,2
Howard Metzenbaum,1976,1995,Ohio,Democratic,3
Barbara Mikulski,1987,2016,Maryland,Democratic,5
Zell Miller,2000,2004,Georgia,Democratic,1
George J. Mitchell,1980,1994,Maine,Democratic,2
Robert B. Morgan,1975,1980,North Carolina,Democratic,1
Carol Moseley-Braun,1993,1998,Illinois,Democratic,1
Daniel Patrick Moynihan,1977,2000,New York,Democratic,4
Frank Murkowski,1981,2001,Alaska,Republican,3
Edmund Muskie,1959,1979,Maine,Democratic,3
Ben Nelson,2001,2012,Nebraska,Democratic,2
Bill Nelson,2001,2018,Florida,Democratic,3
Gaylord Nelson,1963,1980,Wisconsin,Democratic,3
Don Nickles,1981,2004,Oklahoma,Republican,4
Sam Nunn,1973,1996,Georgia,Democratic,4
Barack Obama,2005,2007,Illinois,Democratic,1
Bob Packwood,1969,1994,Oregon,Republican,4
Claiborne Pell,1961,1996,Rhode Island,Democratic,6
Charles H. Percy,1967,1984,Illinois,Republican,3
Larry Pressler,1979,1996,South Dakota,Republican,3
William Proxmire,1957,1988,Wisconsin,Democratic,5
David Pryor,1979,1996,Arkansas,Democratic,3
Mark Pryor,2003,2014,Arkansas,Democratic,2
Dan Quayle,1981,1988,Indiana,Republican,1
Jennings Randolph,1958,1984,West Virginia,Democratic,4
Harry Reid,1987,2016,Nevada,Democratic,5
Abraham A. Ribicoff,1963,1980,Connecticut,Democratic,3
Donald Riegle,1977,1994,Michigan,Democratic,3
Chuck Robb,1989,2000,Virginia,Democratic,2
Jay Rockefeller,1985,2014,West Virginia,Democratic,5
William V. Roth Jr.,1971,2000,Delaware,Republican,5
Warren Rudman,1981,1992,New Hampshire,Republican,2
Ken Salazar,2005,2008,Colorado,Democratic,1
Terry Sanford,1986,1992,North Carolina,Democratic,1
Rick Santorum,1995,2006,Pennsylvania,Republican,2
Paul Sarbanes,1977,2006,Maryland,Democratic,5
Jim Sasser,1977,1994,Tennessee,Democratic,3
Harrison Schmitt,1977,1982,New Mexico,Republican,1
Richard Schweiker,1969,1980,Pennsylvania,Republican,2
Jeff Sessions,1997,2016,Alabama,Republican,3
John F. Seymour,1991,1991,California,Republican,1
Paul Simon,1985,1996,Illinois,Democratic,2
Alan K. Simpson,1979,1996,Wyoming,Republican,3
Gordon Smith,1997,2008,Oregon,Republican,2
Bob Smith,1991,2002,New Hampshire,Republican,2
Olympia Snowe,1995,2012,Maine,Republican,3
Arlen Specter,1981,2009,Pennsylvania,Republican,4
Arlen Specter,2009,2011,Pennsylvania,Democratic,1
Robert Stafford,1971,1988,Vermont,Republican,3
John C. Stennis,1947,1988,Mississippi,Democratic,7
Ted Stevens,1968,2008,Alaska,Republican,6
Adlai Stevenson III,1970,1980,Illinois,Democratic,1
Donald W. Stewart,1978,1980,Alabama,Democratic,1
Richard B. Stone,1975,1979,Florida,Democratic,1
Luther Strange,2017,2017,Alabama,Republican,1
John E. Sununu,2003,2008,New Hampshire,Republican,1
Steven Symms,1981,1992,Idaho,Republican,2
Jim Talent,2002,2006,Missouri,Republican,1
Herman Talmadge,1957,1980,Georgia,Democratic,4
Craig Thomas,1995,2006,Wyoming,Republican,2
Fred Thompson,1994,2002,Tennessee,Republican,1
Strom Thurmond,1964,2003,South Carolina,Republican,6
Robert Torricelli,1997,2002,New Jersey,Democratic,1
John Tower,1961,1984,Texas,Republican,4
Paul S. Trible Jr.,1983,1988,Virginia,Republican,1
Paul Tsongas,1979,1984,Massachusetts,Democratic,1
Mark Udall,2009,2014,Colorado,Democratic,1
David Vitter,2005,2016,Louisiana,"<a href=""/wiki/Republican_Party_(United_States)"" title=""Republican Party (United States)"">Republican</a>",2
George Voinovich,1999,2010,Ohio,Republican,2
Malcolm Wallop,1977,1994,Wyoming,Republican,3
