year,state,candidate,party,outcome,incumbent,Population,Male,Black or African American,Bachelor's degree,Graduate or professional degree,18 to 29 years,65 years and over,Disposable Income Per Capita,Avg Unemployment,turnout,state_Alaska,state_Arizona,state_Arkansas,state_California,state_Colorado,state_Connecticut,state_Delaware,state_Florida,state_Georgia,state_Hawaii,state_Idaho,state_Illinois,state_Indiana,state_Iowa,state_Kansas,state_Kentucky,state_Louisiana,state_Maine,state_Maryland,state_Massachusetts,state_Michigan,state_Minnesota,state_Mississippi,state_Missouri,state_Montana,state_Nebraska,state_Nevada,state_New Hampshire,state_New Jersey,state_New Mexico,state_New York,state_North Carolina,state_North Dakota,state_Ohio,state_Oklahoma,state_Oregon,state_Pennsylvania,state_Rhode Island,state_South Carolina,state_South Dakota,state_Tennessee,state_Texas,state_Utah,state_Vermont,state_Virginia,state_Washington,state_West Virginia,state_Wisconsin,state_Wyoming,candidate_other,candidate_republican
1980,Alabama,Jim Folsom Jr.,democrat,0,0,3879218,0.4807792877351235,0.25618266579853305,0.04205888832677118,0.031360530378027995,0.2157199696536738,0.11135820614520098,6491.0,9.2,0.49200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Alabama,Jeremiah Denton,republican,1,0,3879218,0.4807792877351235,0.25618266579853305,0.04205888832677118,0.031360530378027995,0.2157199696536738,0.11135820614520098,6491.0,9.2,0.49200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Alabama,Sallie M. Hadnott,other,0,0,3879218,0.4807792877351235,0.25618266579853305,0.04205888832677118,0.031360530378027995,0.2157199696536738,0.11135820614520098,6491.0,9.2,0.49200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Alabama,William A. Crew,other,0,0,3879218,0.4807792877351235,0.25618266579853305,0.04205888832677118,0.031360530378027995,0.2157199696536738,0.11135820614520098,6491.0,9.2,0.49200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Alabama,Michael R.A. Erdey,other,0,0,3879218,0.4807792877351235,0.25618266579853305,0.04205888832677118,0.031360530378027995,0.2157199696536738,0.11135820614520098,6491.0,9.2,0.49200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Alabama,Jim Partain,other,0,0,3879218,0.4807792877351235,0.25618266579853305,0.04205888832677118,0.031360530378027995,0.2157199696536738,0.11135820614520098,6491.0,9.2,0.49200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Alabama,Mohammed Oliver,other,0,0,3879218,0.4807792877351235,0.25618266579853305,0.04205888832677118,0.031360530378027995,0.2157199696536738,0.11135820614520098,6491.0,9.2,0.49200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Alaska,Clark S. Gruening,democrat,0,0,387031,0.5304651870517683,0.0335511730814948,0.05757772749331114,0.05615483683877609,0.2769253566174612,0.02754121109240426,11817.0,9.883333333333333,0.602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Alaska,Frank H. Murkowski,republican,1,0,387031,0.5304651870517683,0.0335511730814948,0.05757772749331114,0.05615483683877609,0.2769253566174612,0.02754121109240426,11817.0,9.883333333333333,0.602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Arizona,Josefina Otero,other,0,0,2623513,0.4920329365691538,0.026994992355953595,0.05309514897216605,0.05138657145408399,0.2253929593848269,0.11131983678063406,7722.0,7.016666666666667,0.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Arizona,Barry Goldwater,republican,1,1,2623513,0.4920329365691538,0.026994992355953595,0.05309514897216605,0.05138657145408399,0.2253929593848269,0.11131983678063406,7722.0,7.016666666666667,0.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Arizona,Fred R. Esser,other,0,0,2623513,0.4920329365691538,0.026994992355953595,0.05309514897216605,0.05138657145408399,0.2253929593848269,0.11131983678063406,7722.0,7.016666666666667,0.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Arizona,Lorenzo Torrez,other,0,0,2623513,0.4920329365691538,0.026994992355953595,0.05309514897216605,0.05138657145408399,0.2253929593848269,0.11131983678063406,7722.0,7.016666666666667,0.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Arizona,Bill Schulz,democrat,0,0,2623513,0.4920329365691538,0.026994992355953595,0.05309514897216605,0.05138657145408399,0.2253929593848269,0.11131983678063406,7722.0,7.016666666666667,0.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
