year,state,turnout
2016,United States,60.10%
2016,Alabama,59.10%
2016,Alaska,61.50%
2016,Arizona,56.10%
2016,Arkansas,53.20%
2016,California,58.20%
2016,Colorado,71.90%
2016,Connecticut,64.90%
2016,Delaware,64.40%
2016,District of Columbia,60.70%
2016,Florida,65.60%
2016,Georgia,59.80%
2016,Hawaii,43.20%
2016,Idaho,60.90%
2016,Illinois,63.10%
2016,Indiana,57.90%
2016,Iowa,69.10%
2016,Kansas,59.70%
2016,Kentucky,59.60%
2016,Louisiana,60.60%
2016,Maine,72.90%
2016,Maryland,67.00%
2016,Massachusetts,68.30%
2016,Michigan,65.70%
2016,Minnesota,74.70%
2016,Mississippi,55.20%
2016,Missouri,62.20%
2016,Montana,64.30%
2016,Nebraska,64.00%
2016,Nevada,57.40%
2016,New Hampshire,72.50%
2016,New Jersey,65.80%
2016,New Mexico,54.90%
2016,New York,57.20%
2016,North Carolina,64.90%
2016,North Dakota,61.70%
2016,Ohio,64.20%
2016,Oklahoma,52.30%
2016,Oregon,68.00%
2016,Pennsylvania,63.60%
2016,Rhode Island,59.70%
2016,South Carolina,57.30%
2016,South Dakota,60.00%
2016,Tennessee,51.80%
2016,Texas,51.40%
2016,Utah,57.90%
2016,Vermont,64.80%
2016,Virginia,66.10%
2016,Washington,65.70%
2016,West Virginia,50.20%
2016,Wisconsin,69.50%
2016,Wyoming,60.20%
2018,United States,50.00%
2018,Alabama,47.00%
2018,Alaska,54.80%
2018,Arizona,47.40%
2018,Arkansas,41.30%
2018,California,49.30%
2018,Colorado,61.40%
2018,Connecticut,54.80%
2018,Delaware,51.20%
2018,District of Columbia,43.70%
2018,Florida,54.30%
2018,Georgia,54.10%
2018,Hawaii,39.50%
2018,Idaho,48.60%
2018,Illinois,51.50%
2018,Indiana,46.50%
2018,Iowa,57.90%
2018,Kansas,51.10%
2018,Kentucky,48.70%
2018,Louisiana,45.10%
2018,Maine,59.90%
2018,Maryland,54.20%
2018,Massachusetts,54.60%
2018,Michigan,57.70%
2018,Minnesota,64.20%
2018,Mississippi,43.80%
2018,Missouri,53.30%
2018,Montana,61.30%
2018,Nebraska,51.50%
2018,Nevada,46.50%
2018,New Hampshire,54.00%
2018,New Jersey,53.50%
2018,New Mexico,46.80%
2018,New York,45.70%
2018,North Carolina,49.00%
2018,North Dakota,58.70%
2018,Ohio,50.90%
2018,Oklahoma,42.10%
2018,Oregon,61.20%
2018,Pennsylvania,51.70%
2018,Rhode Island,47.50%
2018,South Carolina,44.50%
2018,South Dakota,53.10%
2018,Tennessee,44.70%
2018,Texas,45.60%
2018,Utah,50.60%
2018,Vermont,55.70%
2018,Virginia,54.40%
2018,Washington,58.30%
2018,West Virginia,42.50%
2018,Wisconsin,61.40%
2018,Wyoming,47.90%
