year,state,turnout
2020,Alabama,0.631
2020,Alaska,0.688
2020,Arizona,0.659
2020,Arkansas,0.561
2020,California,0.685
2020,Colorado,0.764
2020,Connecticut,0.715
2020,Delaware,0.707
2020,District of Columbia,0.641
2020,Florida,0.717
2020,Georgia,0.677
2020,Hawaii,0.575
2020,Idaho,0.677
2020,Illinois,0.670
2020,Indiana,0.614
2020,Iowa,0.732
2020,Kansas,0.659
2020,Kentucky,0.649
2020,Louisiana,0.646
2020,Maine,0.763
2020,Maryland,0.707
2020,Massachusetts,0.721
2020,Michigan,0.739
2020,Minnesota,0.800
2020,Mississippi,0.602
2020,Missouri,0.663
2020,Montana,0.731
2020,Nebraska,0.699
2020,Nevada,0.654
2020,New Hampshire,0.755
2020,New Jersey,0.743
2020,New Mexico,0.613
2020,New York,0.634
2020,North Carolina,0.715
2020,North Dakota,0.645
2020,Ohio,0.674
2020,Oklahoma,0.550
2020,Oregon,0.755
2020,Pennsylvania*,0.710
2020,Rhode Island,0.657
2020,South Carolina,0.645
2020,South Dakota,0.660
2020,Tennessee,0.598
2020,Texas,0.604
2020,Utah,0.692
2020,Vermont,0.742
2020,Virginia,0.730
2020,Washington,0.757
2020,West Virginia,0.576
2020,Wisconsin,0.758
2020,Wyoming,0.646
2016,United States,0.601
2016,Alabama,0.591
2016,Alaska,0.615
2016,Arizona,0.561
2016,Arkansas,0.532
2016,California,0.582
2016,Colorado,0.719
2016,Connecticut,0.649
2016,Delaware,0.644
2016,District of Columbia,0.607
2016,Florida,0.656
2016,Georgia,0.598
2016,Hawaii,0.432
2016,Idaho,0.609
2016,Illinois,0.631
2016,Indiana,0.579
2016,Iowa,0.691
2016,Kansas,0.597
2016,Kentucky,0.596
2016,Louisiana,0.606
2016,Maine,0.729
2016,Maryland,0.67
2016,Massachusetts,0.683
2016,Michigan,0.657
2016,Minnesota,0.747
2016,Mississippi,0.552
2016,Missouri,0.622
2016,Montana,0.643
2016,Nebraska,0.64
2016,Nevada,0.574
2016,New Hampshire,0.725
2016,New Jersey,0.658
2016,New Mexico,0.549
2016,New York,0.572
2016,North Carolina,0.649
2016,North Dakota,0.617
2016,Ohio,0.642
2016,Oklahoma,0.523
2016,Oregon,0.68
2016,Pennsylvania,0.636
2016,Rhode Island,0.597
2016,South Carolina,0.573
2016,South Dakota,0.6
2016,Tennessee,0.518
2016,Texas,0.514
2016,Utah,0.579
2016,Vermont,0.648
2016,Virginia,0.661
2016,Washington,0.657
2016,West Virginia,0.502
2016,Wisconsin,0.695
2016,Wyoming,0.602
2018,United States,0.5
2018,Alabama,0.47
2018,Alaska,0.548
2018,Arizona,0.474
2018,Arkansas,0.413
2018,California,0.493
2018,Colorado,0.614
2018,Connecticut,0.548
2018,Delaware,0.512
2018,District of Columbia,0.437
2018,Florida,0.543
2018,Georgia,0.541
2018,Hawaii,0.395
2018,Idaho,0.486
2018,Illinois,0.515
2018,Indiana,0.465
2018,Iowa,0.579
2018,Kansas,0.511
2018,Kentucky,0.487
2018,Louisiana,0.451
2018,Maine,0.599
2018,Maryland,0.542
2018,Massachusetts,0.546
2018,Michigan,0.577
2018,Minnesota,0.642
2018,Mississippi,0.438
2018,Missouri,0.533
2018,Montana,0.613
2018,Nebraska,0.515
2018,Nevada,0.465
2018,New Hampshire,0.54
2018,New Jersey,0.535
2018,New Mexico,0.468
2018,New York,0.457
2018,North Carolina,0.49
2018,North Dakota,0.587
2018,Ohio,0.509
2018,Oklahoma,0.421
2018,Oregon,0.612
2018,Pennsylvania,0.517
2018,Rhode Island,0.475
2018,South Carolina,0.445
2018,South Dakota,0.531
2018,Tennessee,0.447
2018,Texas,0.456
2018,Utah,0.506
2018,Vermont,0.557
2018,Virginia,0.544
2018,Washington,0.583
2018,West Virginia,0.425
2018,Wisconsin,0.614
2018,Wyoming,0.479
2014,United States,0.367
2014,Alabama,0.332
2014,Alaska,0.548
2014,Arizona,0.341
2014,Arkansas,0.403
2014,California,0.307
2014,Colorado,0.547
2014,Connecticut,0.425
2014,Delaware,0.349
2014,District of Columbia,0.357
2014,Florida,0.433
2014,Georgia,0.386
2014,Hawaii,0.365
2014,Idaho,0.398
2014,Illinois,0.408
2014,Indiana,0.287
2014,Iowa,0.503
2014,Kansas,0.433
2014,Kentucky,0.449
2014,Louisiana,0.449
2014,Maine,0.587
2014,Maryland,0.42
2014,Massachusetts,0.447
2014,Michigan,0.432
2014,Minnesota,0.506
2014,Mississippi,0.29
2014,Missouri,0.336
2014,Montana,0.475
2014,Nebraska,0.414
2014,Nevada,0.296
2014,New Hampshire,0.483
2014,New Jersey,0.325
2014,New Mexico,0.354
2014,New York,0.29
2014,North Carolina,0.412
2014,North Dakota,0.45
2014,Ohio,0.362
2014,Oklahoma,0.3
2014,Oregon,0.534
2014,Pennsylvania,0.365
2014,Rhode Island,0.424
2014,South Carolina,0.352
2014,South Dakota,0.447
2014,Tennessee,0.298
2014,Texas,0.283
2014,Utah,0.303
2014,Vermont,0.408
2014,Virginia,0.368
2014,Washington,0.431
2014,West Virginia,0.32
2014,Wisconsin,0.569
2014,Wyoming,0.397
2012,United States,0.586
2012,Alabama,0.586
2012,Alaska,0.589
2012,Arizona,0.53
2012,Arkansas,0.511
2012,California,0.557
2012,Colorado,0.706
2012,Connecticut,0.614
2012,Delaware,0.623
2012,District of Columbia,0.616
2012,Florida,0.633
2012,Georgia,0.593
2012,Hawaii,0.445
2012,Idaho,0.61
2012,Illinois,0.593
2012,Indiana,0.56
2012,Iowa,0.706
2012,Kansas,0.582
2012,Kentucky,0.562
2012,Louisiana,0.608
2012,Maine,0.693
2012,Maryland,0.673
2012,Massachusetts,0.662
2012,Michigan,0.654
2012,Minnesota,0.764
2012,Mississippi,0.593
2012,Missouri,0.622
2012,Montana,0.635
2012,Nebraska,0.611
2012,Nevada,0.565
2012,New Hampshire,0.709
2012,New Jersey,0.622
2012,New Mexico,0.548
2012,New York,0.535
2012,North Carolina,0.654
2012,North Dakota,0.604
2012,Ohio,0.651
2012,Oklahoma,0.492
2012,Oregon,0.642
2012,Pennsylvania,0.595
2012,Rhode Island,0.58
2012,South Carolina,0.568
